location,province,geo_type,year,sex,count,level
Gisagara,South,District,2021/22,Male,4458.0,Preprimary
Gisagara,South,District,2022/23,Male,7407.0,Preprimary
Gisagara,South,District,2021/22,Female,4713.0,Preprimary
Gisagara,South,District,2022/23,Female,7758.0,Preprimary
Huye,South,District,2021/22,Male,6141.0,Preprimary
Huye,South,District,2022/23,Male,8368.0,Preprimary
Huye,South,District,2021/22,Female,6180.0,Preprimary
Huye,South,District,2022/23,Female,7898.0,Preprimary
Kamonyi,South,District,2021/22,Male,8308.0,Preprimary
Kamonyi,South,District,2022/23,Male,11492.0,Preprimary
Kamonyi,South,District,2021/22,Female,8197.0,Preprimary
Kamonyi,South,District,2022/23,Female,11108.0,Preprimary
Muhanga,South,District,2021/22,Male,6779.0,Preprimary
Muhanga,South,District,2022/23,Male,8252.0,Preprimary
Muhanga,South,District,2021/22,Female,6645.0,Preprimary
Muhanga,South,District,2022/23,Female,8031.0,Preprimary
Nyamagabe,South,District,2021/22,Male,4457.0,Preprimary
Nyamagabe,South,District,2022/23,Male,6562.0,Preprimary
Nyamagabe,South,District,2021/22,Female,4593.0,Preprimary
Nyamagabe,South,District,2022/23,Female,6547.0,Preprimary
Nyanza,South,District,2021/22,Male,6088.0,Preprimary
Nyanza,South,District,2022/23,Male,8629.0,Preprimary
Nyanza,South,District,2021/22,Female,6202.0,Preprimary
Nyanza,South,District,2022/23,Female,8785.0,Preprimary
Nyaruguru,South,District,2021/22,Male,4645.0,Preprimary
Nyaruguru,South,District,2022/23,Male,6673.0,Preprimary
Nyaruguru,South,District,2021/22,Female,5210.0,Preprimary
Nyaruguru,South,District,2022/23,Female,7062.0,Preprimary
Ruhango,South,District,2021/22,Male,4404.0,Preprimary
Ruhango,South,District,2022/23,Male,7430.0,Preprimary
Ruhango,South,District,2021/22,Female,4341.0,Preprimary
Ruhango,South,District,2022/23,Female,7425.0,Preprimary
South,South,Province,2021/22,Male,45280.0,Preprimary
South,South,Province,2022/23,Male,64813.0,Preprimary
South,South,Province,2021/22,Female,46081.0,Preprimary
South,South,Province,2022/23,Female,64614.0,Preprimary
Karongi,West,District,2021/22,Male,6464.0,Preprimary
Karongi,West,District,2022/23,Male,10266.0,Preprimary
Karongi,West,District,2021/22,Female,6603.0,Preprimary
Karongi,West,District,2022/23,Female,10360.0,Preprimary
Ngororero,West,District,2021/22,Male,6135.0,Preprimary
Ngororero,West,District,2022/23,Male,8814.0,Preprimary
Ngororero,West,District,2021/22,Female,6328.0,Preprimary
Ngororero,West,District,2022/23,Female,8854.0,Preprimary
Nyabihu,West,District,2021/22,Male,3974.0,Preprimary
Nyabihu,West,District,2022/23,Male,6046.0,Preprimary
Nyabihu,West,District,2021/22,Female,4092.0,Preprimary
Nyabihu,West,District,2022/23,Female,6001.0,Preprimary
Nyamasheke,West,District,2021/22,Male,5711.0,Preprimary
Nyamasheke,West,District,2022/23,Male,7964.0,Preprimary
Nyamasheke,West,District,2021/22,Female,5723.0,Preprimary
Nyamasheke,West,District,2022/23,Female,8052.0,Preprimary
Rubavu,West,District,2021/22,Male,5165.0,Preprimary
Rubavu,West,District,2022/23,Male,8294.0,Preprimary
Rubavu,West,District,2021/22,Female,5184.0,Preprimary
Rubavu,West,District,2022/23,Female,8667.0,Preprimary
Rusizi,West,District,2021/22,Male,6323.0,Preprimary
