location,province,geo_type,year,sex,count,level
Gisagara,South,District,2021/22,Male,20.0,Preprimary
Gisagara,South,District,2022/23,Male,29.0,Preprimary
Gisagara,South,District,2021/22,Female,103.0,Preprimary
Gisagara,South,District,2022/23,Female,175.0,Preprimary
Huye,South,District,2021/22,Male,19.0,Preprimary
Huye,South,District,2022/23,Male,38.0,Preprimary
Huye,South,District,2021/22,Female,175.0,Preprimary
Huye,South,District,2022/23,Female,241.0,Preprimary
Kamonyi,South,District,2021/22,Male,32.0,Preprimary
Kamonyi,South,District,2022/23,Male,60.0,Preprimary
Kamonyi,South,District,2021/22,Female,251.0,Preprimary
Kamonyi,South,District,2022/23,Female,328.0,Preprimary
Muhanga,South,District,2021/22,Male,34.0,Preprimary
Muhanga,South,District,2022/23,Male,41.0,Preprimary
Muhanga,South,District,2021/22,Female,216.0,Preprimary
Muhanga,South,District,2022/23,Female,276.0,Preprimary
Nyamagabe,South,District,2021/22,Male,39.0,Preprimary
Nyamagabe,South,District,2022/23,Male,30.0,Preprimary
Nyamagabe,South,District,2021/22,Female,117.0,Preprimary
Nyamagabe,South,District,2022/23,Female,162.0,Preprimary
Nyanza,South,District,2021/22,Male,62.0,Preprimary
Nyanza,South,District,2022/23,Male,66.0,Preprimary
Nyanza,South,District,2021/22,Female,150.0,Preprimary
Nyanza,South,District,2022/23,Female,208.0,Preprimary
Nyaruguru,South,District,2021/22,Male,9.0,Preprimary
Nyaruguru,South,District,2022/23,Male,16.0,Preprimary
Nyaruguru,South,District,2021/22,Female,55.0,Preprimary
Nyaruguru,South,District,2022/23,Female,112.0,Preprimary
Ruhango,South,District,2021/22,Male,21.0,Preprimary
Ruhango,South,District,2022/23,Male,44.0,Preprimary
Ruhango,South,District,2021/22,Female,114.0,Preprimary
Ruhango,South,District,2022/23,Female,184.0,Preprimary
South,South,Province,2021/22,Male,236.0,Preprimary
South,South,Province,2022/23,Male,324.0,Preprimary
South,South,Province,2021/22,Female,1181.0,Preprimary
South,South,Province,2022/23,Female,1686.0,Preprimary
Karongi,West,District,2021/22,Male,66.0,Preprimary
Karongi,West,District,2022/23,Male,97.0,Preprimary
Karongi,West,District,2021/22,Female,269.0,Preprimary
Karongi,West,District,2022/23,Female,438.0,Preprimary
Ngororero,West,District,2021/22,Male,17.0,Preprimary
Ngororero,West,District,2022/23,Male,24.0,Preprimary
Ngororero,West,District,2021/22,Female,113.0,Preprimary
Ngororero,West,District,2022/23,Female,162.0,Preprimary
