group,year,sex,count,pct,level
Sat for exams,2017,Male,102442.0,,P6 (Primary)
Sat for exams,2017,Female,125606.0,,P6 (Primary)
Sat for exams,2018,Male,112766.0,,P6 (Primary)
Sat for exams,2018,Female,135281.0,,P6 (Primary)
Sat for exams,2019,Male,127646.0,,P6 (Primary)
Sat for exams,2019,Female,150810.0,,P6 (Primary)
Sat for exams,2021,Male,114259.0,,P6 (Primary)
Sat for exams,2021,Female,136194.0,,P6 (Primary)
Sat for exams,2022,Male,102293.0,,P6 (Primary)
Sat for exams,2022,Female,125108.0,,P6 (Primary)
Sat for exams,2023,Male,90420.0,,P6 (Primary)
Sat for exams,2023,Female,111249.0,,P6 (Primary)
Passed the exam,2017,Male,87544.0,,P6 (Primary)
Passed the exam,2017,Female,109329.0,,P6 (Primary)
Passed the exam,2018,Male,90045.0,,P6 (Primary)
Passed the exam,2018,Female,111222.0,,P6 (Primary)
Passed the exam,2019,Male,101710.0,,P6 (Primary)
Passed the exam,2019,Female,125554.0,,P6 (Primary)
Passed the exam,2021,Male,92428.0,,P6 (Primary)
Passed the exam,2021,Female,114887.0,,P6 (Primary)
Passed the exam,2022,Male,92040.0,,P6 (Primary)
Passed the exam,2022,Female,114249.0,,P6 (Primary)
Passed the exam,2023,Male,82120.0,,P6 (Primary)
Passed the exam,2023,Female,101492.0,,P6 (Primary)
National exams pass rate,2017,Male,0.855,,P6 (Primary)
National exams pass rate,2017,Female,0.87,,P6 (Primary)
National exams pass rate,2018,Male,0.799,,P6 (Primary)
National exams pass rate,2018,Female,0.822,,P6 (Primary)
National exams pass rate,2019,Male,0.797,,P6 (Primary)
National exams pass rate,2019,Female,0.833,,P6 (Primary)
National exams pass rate,2021,Male,0.809,,P6 (Primary)
National exams pass rate,2021,Female,0.844,,P6 (Primary)
National exams pass rate,2022,Male,0.9,,P6 (Primary)
National exams pass rate,2022,Female,0.913,,P6 (Primary)
National exams pass rate,2023,Male,0.908,,P6 (Primary)
National exams pass rate,2023,Female,0.912,,P6 (Primary)
Sat for exams,2017,Male,45278.0,,S3 (Lower Secondary)
Sat for exams,2017,Female,51317.0,,S3 (Lower Secondary)
Sat for exams,2018,Male,46029.0,,S3 (Lower Secondary)
Sat for exams,2018,Female,52463.0,,S3 (Lower Secondary)
Sat for exams,2019,Male,52215.0,,S3 (Lower Secondary)
Sat for exams,2019,Female,62209.0,,S3 (Lower Secondary)
Sat for exams,2021,Male,55253.0,,S3 (Lower Secondary)
Sat for exams,2021,Female,66084.0,,S3 (Lower Secondary)
Sat for exams,2022,Male,56633.0,,S3 (Lower Secondary)
Sat for exams,2022,Female,70317.0,,S3 (Lower Secondary)
Sat for exams,2023,Male,57786.0,,S3 (Lower Secondary)
Sat for exams,2023,Female,73264.0,,S3 (Lower Secondary)
Passed the exam,2017,Male,41639.0,,S3 (Lower Secondary)
Passed the exam,2017,Female,45198.0,,S3 (Lower Secondary)
Passed the exam,2018,Male,39443.0,,S3 (Lower Secondary)
Passed the exam,2018,Female,42555.0,,S3 (Lower Secondary)
Passed the exam,2019,Male,46314.0,,S3 (Lower Secondary)
Passed the exam,2019,Female,52806.0,,S3 (Lower Secondary)
Passed the exam,2021,Male,48514.0,,S3 (Lower Secondary)
Passed the exam,2021,Female,56357.0,,S3 (Lower Secondary)
Passed the exam,2022,Male,49802.0,,S3 (Lower Secondary)
Passed the exam,2022,Female,58766.0,,S3 (Lower Secondary)
Passed the exam,2023,Male,52084.0,,S3 (Lower Secondary)
Passed the exam,2023,Female,61809.0,,S3 (Lower Secondary)
National exam pass rate,2017,Male,0.92,,S3 (Lower Secondary)
National exam pass rate,2017,Female,0.881,,S3 (Lower Secondary)
National exam pass rate,2018,Male,0.857,,S3 (Lower Secondary)
National exam pass rate,2018,Female,0.811,,S3 (Lower Secondary)
National exam pass rate,2019,Male,0.887,,S3 (Lower Secondary)
National exam pass rate,2019,Female,0.849,,S3 (Lower Secondary)
National exam pass rate,2021,Male,0.878,,S3 (Lower Secondary)
National exam pass rate,2021,Female,0.853,,S3 (Lower Secondary)
National exam pass rate,2022,Male,0.879,,S3 (Lower Secondary)
National exam pass rate,2022,Female,0.836,,S3 (Lower Secondary)
National exam pass rate,2023,Male,0.901,,S3 (Lower Secondary)
National exam pass rate,2023,Female,0.844,,S3 (Lower Secondary)
Sat for exams,2017,Male,18324.0,,S6 (Upper Secondary)
Sat for exams,2017,Female,22429.0,,S6 (Upper Secondary)
Sat for exams,2018,Male,19667.0,,S6 (Upper Secondary)
Sat for exams,2018,Female,23157.0,,S6 (Upper Secondary)
Sat for exams,2019,Male,21260.0,,S6 (Upper Secondary)
Sat for exams,2019,Female,25667.0,,S6 (Upper Secondary)
Sat for exams,2021,Male,21217.0,,S6 (Upper Secondary)
Sat for exams,2021,Female,25644.0,,S6 (Upper Secondary)
Sat for exams,2022,Male,21532.0,,S6 (Upper Secondary)
