level,year,gpi
GPI in NER at Preprimary,2017,1.03
GPI in NER at Preprimary,2018,1.04
GPI in NER at Preprimary,2019,1.05
GPI in NER at Preprimary,2020/21,1.07
GPI in NER at Preprimary,2021/22,1.02
GPI in NER at Preprimary,2022/23,1.01
GPI in NER at Primary,2017,1.0
GPI in NER at Primary,2018,1.01
GPI in NER at Primary,2019,1.0
GPI in NER at Primary,2020/21,1.0
GPI in NER at Primary,2021/22,1.0
GPI in NER at Primary,2022/23,0.99
GPI in NER at Lower Secondary,2017,1.24
GPI in NER at Lower Secondary,2018,1.25
GPI in NER at Lower Secondary,2019,1.27
GPI in NER at Lower Secondary,2020/21,1.17
GPI in NER at Lower Secondary,2021/22,1.45
GPI in NER at Lower Secondary,2022/23,1.45
GPI in NER at Upper Secondary,2017,1.07
GPI in NER at Upper Secondary,2018,1.12
GPI in NER at Upper Secondary,2019,1.09
GPI in NER at Upper Secondary,2020/21,1.17
GPI in NER at Upper Secondary,2021/22,1.38
GPI in NER at Upper Secondary,2022/23,1.49
GPI in TVET enrolment,2017,0.83
GPI in TVET enrolment,2018,0.82
GPI in TVET enrolment,2019,0.79
GPI in TVET enrolment,2020/21,0.88
GPI in TVET enrolment,2021/22,0.72
GPI in TVET enrolment,2022/23,0.77
GPI in GER at Higher Education,2017,0.79
GPI in GER at Higher Education,2018,0.71
GPI in GER at Higher Education,2019,0.72
GPI in GER at Higher Education,2020/21,0.79
GPI in GER at Higher Education,2021/22,0.76
GPI in GER at Higher Education,2022/23,0.77
