grade,sex,year,value,metric
P2,Total,2016/17,0.769,Promotion Rate
P2,Total,2017/18,0.787,Promotion Rate
P2,Total,2018/19,0.806,Promotion Rate
P2,Total,2019/20,0.793,Promotion Rate
P2,Total,2020/21,0.686,Promotion Rate
P2,Total,2021/22,0.678,Promotion Rate
P2,Male,2016/17,0.765,Promotion Rate
P2,Male,2017/18,0.779,Promotion Rate
P2,Male,2018/19,0.799,Promotion Rate
P2,Male,2019/20,0.78,Promotion Rate
P2,Male,2020/21,0.675,Promotion Rate
P2,Male,2021/22,0.609,Promotion Rate
P2,Female,2016/17,0.773,Promotion Rate
P2,Female,2017/18,0.795,Promotion Rate
P2,Female,2018/19,0.815,Promotion Rate
P2,Female,2019/20,0.807,Promotion Rate
P2,Female,2020/21,0.698,Promotion Rate
P2,Female,2021/22,0.672,Promotion Rate
P3,Total,2016/17,0.79,Promotion Rate
P3,Total,2017/18,0.797,Promotion Rate
P3,Total,2018/19,0.837,Promotion Rate
P3,Total,2019/20,0.822,Promotion Rate
P3,Total,2020/21,0.74,Promotion Rate
P3,Total,2021/22,0.733,Promotion Rate
P3,Male,2016/17,0.775,Promotion Rate
P3,Male,2017/18,0.783,Promotion Rate
P3,Male,2018/19,0.821,Promotion Rate
P3,Male,2019/20,0.801,Promotion Rate
P3,Male,2020/21,0.712,Promotion Rate
P3,Male,2021/22,0.678,Promotion Rate
P3,Female,2016/17,0.805,Promotion Rate
P3,Female,2017/18,0.812,Promotion Rate
P3,Female,2018/19,0.854,Promotion Rate
P3,Female,2019/20,0.845,Promotion Rate
P3,Female,2020/21,0.769,Promotion Rate
P3,Female,2021/22,0.743,Promotion Rate
P4,Total,2016/17,0.813,Promotion Rate
P4,Total,2017/18,0.821,Promotion Rate
P4,Total,2018/19,0.848,Promotion Rate
P4,Total,2019/20,0.83,Promotion Rate
P4,Total,2020/21,0.732,Promotion Rate
P4,Total,2021/22,0.777,Promotion Rate
P4,Male,2016/17,0.79,Promotion Rate
P4,Male,2017/18,0.804,Promotion Rate
P4,Male,2018/19,0.827,Promotion Rate
P4,Male,2019/20,0.803,Promotion Rate
P4,Male,2020/21,0.692,Promotion Rate
P4,Male,2021/22,0.723,Promotion Rate
P4,Female,2016/17,0.836,Promotion Rate
P4,Female,2017/18,0.838,Promotion Rate
P4,Female,2018/19,0.87,Promotion Rate
P4,Female,2019/20,0.857,Promotion Rate
P4,Female,2020/21,0.772,Promotion Rate
P4,Female,2021/22,0.739,Promotion Rate
P5,Total,2016/17,0.807,Promotion Rate
P5,Total,2017/18,0.816,Promotion Rate
P5,Total,2018/19,0.838,Promotion Rate
P5,Total,2019/20,0.818,Promotion Rate
P5,Total,2020/21,0.703,Promotion Rate
P5,Total,2021/22,0.714,Promotion Rate
P5,Male,2016/17,0.783,Promotion Rate
P5,Male,2017/18,0.796,Promotion Rate
P5,Male,2018/19,0.813,Promotion Rate
P5,Male,2019/20,0.786,Promotion Rate
P5,Male,2020/21,0.657,Promotion Rate
P5,Male,2021/22,0.664,Promotion Rate
P5,Female,2016/17,0.831,Promotion Rate
P5,Female,2017/18,0.836,Promotion Rate
P5,Female,2018/19,0.862,Promotion Rate
P5,Female,2019/20,0.851,Promotion Rate
P5,Female,2020/21,0.749,Promotion Rate
P5,Female,2021/22,0.702,Promotion Rate
P6,Total,2016/17,0.721,Promotion Rate
P6,Total,2017/18,0.774,Promotion Rate
P6,Total,2018/19,0.776,Promotion Rate
P6,Total,2019/20,0.71,Promotion Rate
P6,Total,2020/21,0.541,Promotion Rate
P6,Total,2021/22,0.518,Promotion Rate
P6,Male,2016/17,0.709,Promotion Rate
P6,Male,2017/18,0.764,Promotion Rate
P6,Male,2018/19,0.75,Promotion Rate
P6,Male,2019/20,0.676,Promotion Rate
P6,Male,2020/21,0.493,Promotion Rate
P6,Male,2021/22,0.471,Promotion Rate
P6,Female,2016/17,0.733,Promotion Rate
P6,Female,2017/18,0.783,Promotion Rate
P6,Female,2018/19,0.799,Promotion Rate
P6,Female,2019/20,0.742,Promotion Rate
P6,Female,2020/21,0.587,Promotion Rate
P6,Female,2021/22,0.535,Promotion Rate
S2,Total,2016/17,0.883,Promotion Rate
S2,Total,2017/18,0.872,Promotion Rate
S2,Total,2018/19,0.857,Promotion Rate
S2,Total,2019/20,0.817,Promotion Rate
S2,Total,2020/21,0.772,Promotion Rate
S2,Total,2021/22,0.8,Promotion Rate
S2,Male,2016/17,0.882,Promotion Rate
S2,Male,2017/18,0.871,Promotion Rate
S2,Male,2018/19,0.845,Promotion Rate
S2,Male,2019/20,0.807,Promotion Rate
S2,Male,2020/21,0.744,Promotion Rate
S2,Male,2021/22,0.781,Promotion Rate
S2,Female,2016/17,0.883,Promotion Rate
S2,Female,2017/18,0.872,Promotion Rate
S2,Female,2018/19,0.868,Promotion Rate
S2,Female,2019/20,0.825,Promotion Rate
S2,Female,2020/21,0.796,Promotion Rate
S2,Female,2021/22,0.816,Promotion Rate
S3,Total,2016/17,0.842,Promotion Rate
S3,Total,2017/18,0.865,Promotion Rate
S3,Total,2018/19,0.861,Promotion Rate
S3,Total,2019/20,0.782,Promotion Rate
S3,Total,2020/21,0.689,Promotion Rate
S3,Total,2021/22,0.561,Promotion Rate
S3,Male,2016/17,0.844,Promotion Rate
S3,Male,2017/18,0.87,Promotion Rate
S3,Male,2018/19,0.858,Promotion Rate
S3,Male,2019/20,0.784,Promotion Rate
S3,Male,2020/21,0.68,Promotion Rate
S3,Male,2021/22,0.556,Promotion Rate
