group,year,sex,count,pct,level
Total children in ECDs,2017,Male,110978.0,0.492,ECD
Total children in ECDs,2017,Female,114691.0,0.508,ECD
Total children in ECDs,2018,Male,115243.0,0.494,ECD
Total children in ECDs,2018,Female,117954.0,0.506,ECD
Total children in ECDs,2019,Male,142201.0,0.492,ECD
Total children in ECDs,2019,Female,146917.0,0.508,ECD
Total children in ECDs,2020/21,Male,144646.0,0.487,ECD
Total children in ECDs,2020/21,Female,152375.0,0.513,ECD
Total children in ECDs,2021/22,Male,496439.0,0.481,ECD
Total children in ECDs,2021/22,Female,536572.0,0.519,ECD
Total children in ECDs,2022/23,Male,548014.0,0.483,ECD
Total children in ECDs,2022/23,Female,586899.0,0.517,ECD
Total children in ECED centers,2017,Male,2516.0,,ECD
Total children in ECED centers,2017,Female,2718.0,,ECD
Total children in ECED centers,2018,Male,3199.0,,ECD
Total children in ECED centers,2018,Female,3292.0,,ECD
Total children in ECED centers,2019,Male,3290.0,,ECD
Total children in ECED centers,2019,Female,3400.0,,ECD
Total children in ECED centers,2020/21,Male,1586.0,,ECD
Total children in ECED centers,2020/21,Female,1612.0,,ECD
Total children in ECED centers,2021/22,Male,318916.0,,ECD
Total children in ECED centers,2021/22,Female,358770.0,,ECD
Total children in ECED centers,2022/23,Male,276170.0,,ECD
Total children in ECED centers,2022/23,Female,317745.0,,ECD
ECED children in Formal centers,2017,Male,2516.0,,ECD
ECED children in Formal centers,2017,Female,2718.0,,ECD
ECED children in Formal centers,2018,Male,3199.0,,ECD
ECED children in Formal centers,2018,Female,3292.0,,ECD
ECED children in Formal centers,2019,Male,3290.0,,ECD
ECED children in Formal centers,2019,Female,3400.0,,ECD
ECED children in Formal centers,2020/21,Male,1586.0,,ECD
ECED children in Formal centers,2020/21,Female,1612.0,,ECD
ECED children in Formal centers,2021/22,Male,11784.0,,ECD
ECED children in Formal centers,2021/22,Female,13272.0,,ECD
ECED children in Formal centers,2022/23,Male,11557.0,,ECD
ECED children in Formal centers,2022/23,Female,13068.0,,ECD
ECED children in non-formal centers*,2021/22,Male,307132.0,,ECD
ECED children in non-formal centers*,2021/22,Female,345498.0,,ECD
ECED children in non-formal centers*,2022/23,Male,264613.0,,ECD
ECED children in non-formal centers*,2022/23,Female,304677.0,,ECD
Total pupils in Preprimary level,2017,Male,108462.0,,ECD
Total pupils in Preprimary level,2018,Male,112044.0,,ECD
