group,year,sex,count,pct,level
Promotion rate,2016/17,Male,0.861,,National
Promotion rate,2016/17,Female,0.865,,National
Promotion rate,2017/18,Male,0.871,,National
Promotion rate,2017/18,Female,0.878,,National
Promotion rate,2018/19,Male,0.862,,National
Promotion rate,2018/19,Female,0.876,,National
Promotion rate,2019/20,Male,0.817,,National
Promotion rate,2019/20,Female,0.83,,National
Promotion rate,2020/21,Male,0.755,,National
Promotion rate,2020/21,Female,0.785,,National
Promotion rate,2021/22,Male,0.739,,National
Promotion rate,2021/22,Female,0.754,,National
Repetition Rate,2016/17,Male,0.093,,National
Repetition Rate,2016/17,Female,0.086,,National
Repetition Rate,2017/18,Male,0.087,,National
Repetition Rate,2017/18,Female,0.076,,National
Repetition Rate,2018/19,Male,0.063,,National
Repetition Rate,2018/19,Female,0.054,,National
Repetition Rate,2019/20,Male,0.086,,National
Repetition Rate,2019/20,Female,0.08,,National
Repetition Rate,2020/21,Male,0.155,,National
Repetition Rate,2020/21,Female,0.136,,National
Repetition Rate,2021/22,Male,0.194,,National
Repetition Rate,2021/22,Female,0.178,,National
Dropout Rate,2016/17,Male,0.046,,National
Dropout Rate,2016/17,Female,0.049,,National
Dropout Rate,2017/18,Male,0.042,,National
Dropout Rate,2017/18,Female,0.046,,National
Dropout Rate,2018/19,Male,0.076,,National
Dropout Rate,2018/19,Female,0.071,,National
Dropout Rate,2019/20,Male,0.097,,National
Dropout Rate,2019/20,Female,0.09,,National
Dropout Rate,2020/21,Male,0.093,,National
Dropout Rate,2020/21,Female,0.079,,National
Dropout Rate,2021/22,Male,0.05,,National
Dropout Rate,2021/22,Female,0.068,,National
Promotion rate,2016/17,Male,0.764,,Primary
Promotion rate,2016/17,Female,0.796,,Primary
Promotion rate,2017/18,Male,0.786,,Primary
Promotion rate,2017/18,Female,0.813,,Primary
Promotion rate,2018/19,Male,0.804,,Primary
Promotion rate,2018/19,Female,0.84,,Primary
Promotion rate,2019/20,Male,0.772,,Primary
Promotion rate,2019/20,Female,0.821,,Primary
Promotion rate,2020/21,Male,0.653,,Primary
Promotion rate,2020/21,Female,0.713,,Primary
Promotion rate,2021/22,Male,0.634,,Primary
Promotion rate,2021/22,Female,0.685,,Primary
Repetition Rate,2016/17,Male,0.177,,Primary
Repetition Rate,2016/17,Female,0.151,,Primary
Repetition Rate,2017/18,Male,0.144,,Primary
Repetition Rate,2017/18,Female,0.124,,Primary
Repetition Rate,2018/19,Male,0.109,,Primary
Repetition Rate,2018/19,Female,0.092,,Primary
Repetition Rate,2019/20,Male,0.115,,Primary
Repetition Rate,2019/20,Female,0.103,,Primary
Repetition Rate,2020/21,Male,0.269,,Primary
Repetition Rate,2020/21,Female,0.223,,Primary
Repetition Rate,2021/22,Male,0.314,,Primary
Repetition Rate,2021/22,Female,0.261,,Primary
Dropout Rate,2016/17,Male,0.059,,Primary
Dropout Rate,2016/17,Female,0.053,,Primary
Dropout Rate,2017/18,Male,0.07,,Primary
Dropout Rate,2017/18,Female,0.063,,Primary
Dropout Rate,2018/19,Male,0.087,,Primary
Dropout Rate,2018/19,Female,0.068,,Primary
Dropout Rate,2019/20,Male,0.113,,Primary
Dropout Rate,2019/20,Female,0.077,,Primary
Dropout Rate,2020/21,Male,0.078,,Primary
Dropout Rate,2020/21,Female,0.064,,Primary
Dropout Rate,2021/22,Male,0.051,,Primary
Dropout Rate,2021/22,Female,0.054,,Primary
Promotion rate,2016/17,Male,0.909,,Secondary
Promotion rate,2016/17,Female,0.899,,Secondary
Promotion rate,2017/18,Male,0.894,,Secondary
Promotion rate,2017/18,Female,0.891,,Secondary
Promotion rate,2018/19,Male,0.871,,Secondary
Promotion rate,2018/19,Female,0.88,,Secondary
Promotion rate,2019/20,Male,0.817,,Secondary
Promotion rate,2019/20,Female,0.82,,Secondary
Promotion rate,2020/21,Male,0.805,,Secondary
Promotion rate,2020/21,Female,0.821,,Secondary
Promotion rate,2021/22,Male,0.792,,Secondary
Promotion rate,2021/22,Female,0.788,,Secondary
Repetition Rate,2016/17,Male,0.05,,Secondary
Repetition Rate,2016/17,Female,0.054,,Secondary
Repetition Rate,2017/18,Male,0.053,,Secondary
Repetition Rate,2017/18,Female,0.048,,Secondary
Repetition Rate,2018/19,Male,0.047,,Secondary
Repetition Rate,2018/19,Female,0.038,,Secondary
Repetition Rate,2019/20,Male,0.082,,Secondary
Repetition Rate,2019/20,Female,0.075,,Secondary
Repetition Rate,2020/21,Male,0.097,,Secondary
Repetition Rate,2020/21,Female,0.092,,Secondary
Repetition Rate,2021/22,Male,0.134,,Secondary
Repetition Rate,2021/22,Female,0.136,,Secondary
Dropout Rate,2016/17,Male,0.04,,Secondary
Dropout Rate,2016/17,Female,0.047,,Secondary
Dropout Rate,2017/18,Male,0.054,,Secondary
Dropout Rate,2017/18,Female,0.061,,Secondary
Dropout Rate,2018/19,Male,0.082,,Secondary
Dropout Rate,2018/19,Female,0.081,,Secondary
Dropout Rate,2019/20,Male,0.101,,Secondary
Dropout Rate,2019/20,Female,0.105,,Secondary
Dropout Rate,2020/21,Male,0.097,,Secondary
Dropout Rate,2020/21,Female,0.087,,Secondary
Dropout Rate,2021/22,Male,0.074,,Secondary
Dropout Rate,2021/22,Female,0.075,,Secondary
