group,year,sex,count,pct,level
Total school teaching staff,2017,Male,36822.0,0.518,All levels
Total school teaching staff,2017,Female,34219.0,0.482,All levels
Total school teaching staff,2018,Male,36744.0,0.513,All levels
Total school teaching staff,2018,Female,34913.0,0.487,All levels
Total school teaching staff,2019,Male,37496.0,0.504,All levels
Total school teaching staff,2019,Female,36898.0,0.496,All levels
Total school teaching staff,2020/21,Male,46317.0,0.476,All levels
Total school teaching staff,2020/21,Female,50961.0,0.524,All levels
Total school teaching staff,2021/22,Male,48252.0,0.482,All levels
Total school teaching staff,2021/22,Female,51764.0,0.518,All levels
Total school teaching staff,2022/23,Male,52965.0,0.479,All levels
Total school teaching staff,2022/23,Female,57495.0,0.521,All levels
Staff in Public schools,2017,Male,10983.0,,All levels
Staff in Public schools,2017,Female,9011.0,,All levels
Staff in Public schools,2018,Male,10910.0,,All levels
Staff in Public schools,2018,Female,9104.0,,All levels
Staff in Public schools,2019,Male,11306.0,,All levels
Staff in Public schools,2019,Female,9833.0,,All levels
Staff in Public schools,2020/21,Male,16211.0,,All levels
Staff in Public schools,2020/21,Female,17498.0,,All levels
Staff in Public schools,2021/22,Male,17627.0,,All levels
Staff in Public schools,2021/22,Female,18619.0,,All levels
Staff in Public schools,2022/23,Male,19467.0,,All levels
Staff in Public schools,2022/23,Female,20769.0,,All levels
Staff in Government-subsidized schools,2017,Male,19841.0,,All levels
Staff in Government-subsidized schools,2017,Female,20288.0,,All levels
Staff in Government-subsidized schools,2018,Male,19769.0,,All levels
Staff in Government-subsidized schools,2018,Female,20820.0,,All levels
Staff in Government-subsidized schools,2019,Male,19976.0,,All levels
Staff in Government-subsidized schools,2019,Female,21572.0,,All levels
Staff in Government-subsidized schools,2020/21,Male,23141.0,,All levels
Staff in Government-subsidized schools,2020/21,Female,27611.0,,All levels
Staff in Government-subsidized schools,2021/22,Male,24402.0,,All levels
Staff in Government-subsidized schools,2021/22,Female,28322.0,,All levels
Staff in Government-subsidized schools,2022/23,Male,26135.0,,All levels
Staff in Government-subsidized schools,2022/23,Female,31016.0,,All levels
Staff in Private schools,2017,Male,5998.0,,All levels
Staff in Private schools,2017,Female,4920.0,,All levels
Staff in Private schools,2018,Male,6065.0,,All levels
Staff in Private schools,2018,Female,4989.0,,All levels
Staff in Private schools,2019,Male,6214.0,,All levels
Staff in Private schools,2019,Female,5493.0,,All levels
Staff in Private schools,2020/21,Male,6965.0,,All levels
Staff in Private schools,2020/21,Female,5852.0,,All levels
Staff in Private schools,2021/22,Male,6223.0,,All levels
Staff in Private schools,2021/22,Female,4823.0,,All levels
Staff in Private schools,2022/23,Male,7363.0,,All levels
Staff in Private schools,2022/23,Female,5710.0,,All levels
Total school teaching staff,2017,Male,956.0,0.158,Preprimary
Total school teaching staff,2017,Female,5083.0,0.842,Preprimary
Total school teaching staff,2018,Male,994.0,0.158,Preprimary
Total school teaching staff,2018,Female,5286.0,0.842,Preprimary
Total school teaching staff,2019,Male,1059.0,0.153,Preprimary
Total school teaching staff,2019,Female,5872.0,0.847,Preprimary
Total school teaching staff,2020/21,Male,1154.0,0.144,Preprimary
Total school teaching staff,2020/21,Female,6880.0,0.856,Preprimary
Total school teaching staff,2021/22,Male,1555.0,0.212,Preprimary
Total school teaching staff,2021/22,Female,5796.0,0.788,Preprimary
Total school teaching staff,2022/23,Male,1685.0,0.182,Preprimary
Total school teaching staff,2022/23,Female,7595.0,0.818,Preprimary
Staff in Public schools,2017,Male,117.0,,Preprimary
Staff in Public schools,2017,Female,589.0,,Preprimary
Staff in Public schools,2018,Male,92.0,,Preprimary
Staff in Public schools,2018,Female,541.0,,Preprimary
Staff in Public schools,2019,Male,104.0,,Preprimary
Staff in Public schools,2019,Female,630.0,,Preprimary
Staff in Public schools,2020/21,Male,242.0,,Preprimary
Staff in Public schools,2020/21,Female,1479.0,,Preprimary
Staff in Public schools,2021/22,Male,541.0,,Preprimary
Staff in Public schools,2021/22,Female,1362.0,,Preprimary
Staff in Public schools,2022/23,Male,534.0,,Preprimary
Staff in Public schools,2022/23,Female,2053.0,,Preprimary
Staff in Government-subsidized schools,2017,Male,362.0,,Preprimary
Staff in Government-subsidized schools,2017,Female,1741.0,,Preprimary
Staff in Government-subsidized schools,2018,Male,370.0,,Preprimary
Staff in Government-subsidized schools,2018,Female,2014.0,,Preprimary
Staff in Government-subsidized schools,2019,Male,351.0,,Preprimary
Staff in Government-subsidized schools,2019,Female,2046.0,,Preprimary
Staff in Government-subsidized schools,2020/21,Male,284.0,,Preprimary
Staff in Government-subsidized schools,2020/21,Female,2258.0,,Preprimary
Staff in Government-subsidized schools,2021/22,Male,661.0,,Preprimary
Staff in Government-subsidized schools,2021/22,Female,2086.0,,Preprimary
Staff in Government-subsidized schools,2022/23,Male,749.0,,Preprimary
Staff in Government-subsidized schools,2022/23,Female,3046.0,,Preprimary
Staff in Private schools,2017,Male,477.0,,Preprimary
Staff in Private schools,2017,Female,2753.0,,Preprimary
Staff in Private schools,2018,Male,532.0,,Preprimary
Staff in Private schools,2018,Female,2731.0,,Preprimary
Staff in Private schools,2019,Male,604.0,,Preprimary
Staff in Private schools,2019,Female,3196.0,,Preprimary
Staff in Private schools,2020/21,Male,628.0,,Preprimary
Staff in Private schools,2020/21,Female,3143.0,,Preprimary
Staff in Private schools,2021/22,Male,353.0,,Preprimary
Staff in Private schools,2021/22,Female,2348.0,,Preprimary
Staff in Private schools,2022/23,Male,402.0,,Preprimary
Staff in Private schools,2022/23,Female,2496.0,,Preprimary
Total school teaching staff,2017,Male,18898.0,0.455,Primary
Total school teaching staff,2017,Female,22675.0,0.545,Primary
Total school teaching staff,2018,Male,18990.0,0.451,Primary
Total school teaching staff,2018,Female,23083.0,0.549,Primary
Total school teaching staff,2019,Male,19534.0,0.445,Primary
Total school teaching staff,2019,Female,24344.0,0.555,Primary
Total school teaching staff,2020/21,Male,25667.0,0.423,Primary
Total school teaching staff,2020/21,Female,34999.0,0.577,Primary
Total school teaching staff,2021/22,Male,26833.0,0.426,Primary
Total school teaching staff,2021/22,Female,36213.0,0.574,Primary
Total school teaching staff,2022/23,Male,29101.0,0.431,Primary
Total school teaching staff,2022/23,Female,38438.0,0.569,Primary
Teaching staff in public schools,2017,Male,5603.0,,Primary
Teaching staff in public schools,2017,Female,6292.0,,Primary
Teaching staff in public schools,2018,Male,5589.0,,Primary
Teaching staff in public schools,2018,Female,6441.0,,Primary
Teaching staff in public schools,2019,Male,5839.0,,Primary
Teaching staff in public schools,2019,Female,7016.0,,Primary
Teaching staff in public schools,2020/21,Male,9209.0,,Primary
Teaching staff in public schools,2020/21,Female,12750.0,,Primary
Teaching staff in public schools,2021/22,Male,10007.0,,Primary
Teaching staff in public schools,2021/22,Female,13582.0,,Primary
Teaching staff in public schools,2022/23,Male,10724.0,,Primary
Teaching staff in public schools,2022/23,Female,14378.0,,Primary
Teaching staff in Government-subsidized schools,2017,Male,10916.0,,Primary
Teaching staff in Government-subsidized schools,2017,Female,14981.0,,Primary
Teaching staff in Government-subsidized schools,2018,Male,10869.0,,Primary
Teaching staff in Government-subsidized schools,2018,Female,15169.0,,Primary
Teaching staff in Government-subsidized schools,2019,Male,10979.0,,Primary
Teaching staff in Government-subsidized schools,2019,Female,15792.0,,Primary
Teaching staff in Government-subsidized schools,2020/21,Male,13093.0,,Primary
Teaching staff in Government-subsidized schools,2020/21,Female,20416.0,,Primary
Teaching staff in Government-subsidized schools,2021/22,Male,13625.0,,Primary
Teaching staff in Government-subsidized schools,2021/22,Female,20898.0,,Primary
Teaching staff in Government-subsidized schools,2022/23,Male,14329.0,,Primary
Teaching staff in Government-subsidized schools,2022/23,Female,21791.0,,Primary
Teaching staff in Private schools,2017,Male,2379.0,,Primary
Teaching staff in Private schools,2017,Female,1402.0,,Primary
Teaching staff in Private schools,2018,Male,2532.0,,Primary
Teaching staff in Private schools,2018,Female,1473.0,,Primary
Teaching staff in Private schools,2019,Male,2716.0,,Primary
