group,year,sex,count,pct
Total learners,2017,Male,1783151.0,0.493
Total learners,2017,Female,1830853.0,0.507
Total learners,2018,Male,1786491.0,0.494
Total learners,2018,Female,1833380.0,0.506
Total learners,2019,Male,1854214.0,0.494
Total learners,2019,Female,1896038.0,0.506
Total learners,2020/21,Male,1975737.0,0.49
Total learners,2020/21,Female,2054111.0,0.51
Total learners,2021/22,Male,2050664.0,0.493
Total learners,2021/22,Female,2109118.0,0.507
Total learners,2022/23,Male,2209396.0,0.496
Total learners,2022/23,Female,2247023.0,0.504
Public schools,2017,Male,546970.0,
Public schools,2017,Female,551510.0,
Public schools,2018,Male,556061.0,
Public schools,2018,Female,554393.0,
Public schools,2019,Male,588029.0,
Public schools,2019,Female,583739.0,
Public schools,2020/21,Male,745710.0,
Public schools,2020/21,Female,760570.0,
Public schools,2021/22,Male,792307.0,
Public schools,2021/22,Female,798383.0,
Public schools,2022/23,Male,862398.0,
Public schools,2022/23,Female,863249.0,
Government-subsidized schools,2017,Male,1050577.0,
Government-subsidized schools,2017,Female,1099040.0,
Government-subsidized schools,2018,Male,1056498.0,
Government-subsidized schools,2018,Female,1103078.0,
Government-subsidized schools,2019,Male,1071594.0,
Government-subsidized schools,2019,Female,1117558.0,
Government-subsidized schools,2020/21,Male,1036099.0,
Government-subsidized schools,2020/21,Female,1097913.0,
Government-subsidized schools,2021/22,Male,1058085.0,
Government-subsidized schools,2021/22,Female,1111623.0,
Government-subsidized schools,2022/23,Male,1129641.0,
Government-subsidized schools,2022/23,Female,1170124.0,
Private schools,2017,Male,185604.0,
Private schools,2017,Female,180303.0,
Private schools,2018,Male,173932.0,
Private schools,2018,Female,175909.0,
Private schools,2019,Male,194591.0,
Private schools,2019,Female,194741.0,
Private schools,2020/21,Male,193928.0,
Private schools,2020/21,Female,195628.0,
Private schools,2021/22,Male,200272.0,
Private schools,2021/22,Female,199112.0,
Private schools,2022/23,Male,217357.0,
Private schools,2022/23,Female,213650.0,
