transition,year,sex,rate
Primary → Lower Secondary,2016,Male,89442.0
Primary → Lower Secondary,2017,Male,110892.0
Primary → Lower Secondary,2018,Male,118751.0
Primary → Lower Secondary,2019,Male,139172.0
Primary → Lower Secondary,2020/21,Male,134297.0
Primary → Lower Secondary,2021/22,Male,102527.0
Primary → Lower Secondary,2016,Male,108978.0
Primary → Lower Secondary,2017,Male,133611.0
Primary → Lower Secondary,2018,Male,141309.0
Primary → Lower Secondary,2019,Male,160782.0
Primary → Lower Secondary,2020/21,Male,153819.0
Primary → Lower Secondary,2021/22,Male,125025.0
Primary → Lower Secondary,2017,Male,67445.0
Primary → Lower Secondary,2018,Male,80197.0
Primary → Lower Secondary,2019,Male,85573.0
Primary → Lower Secondary,2020/21,Male,91284.0
Primary → Lower Secondary,2021/22,Male,87365.0
Primary → Lower Secondary,2017,Male,80313.0
Primary → Lower Secondary,2018,Male,94833.0
Primary → Lower Secondary,2019,Male,102253.0
Primary → Lower Secondary,2020/21,Male,106654.0
Primary → Lower Secondary,2021/22,Male,105150.0
Primary → Lower Secondary,2016,Male,0.7540640862234744
Primary → Lower Secondary,2017,Male,0.7231991487212783
Primary → Lower Secondary,2018,Male,0.7206086685585805
Primary → Lower Secondary,2019,Male,0.6559077975454833
Primary → Lower Secondary,2020/21,Male,0.6505357528463034
Primary → Lower Secondary,2021/22,Male,0.8327562495732831
Primary → Lower Secondary,2016,Male,0.7369652590431096
Primary → Lower Secondary,2017,Male,0.7097694052136426
Primary → Lower Secondary,2018,Male,0.7236127918250076
Primary → Lower Secondary,2019,Male,0.663345399360625
Primary → Lower Secondary,2020/21,Male,0.6835956546330427
Primary → Lower Secondary,2021/22,Male,0.8261467706458708
Lower → Upper Secondary,2016,Male,43230.0
Lower → Upper Secondary,2017,Male,47003.0
Lower → Upper Secondary,2018,Male,46552.0
Lower → Upper Secondary,2019,Male,54333.0
Lower → Upper Secondary,2020/21,Male,59381.0
Lower → Upper Secondary,2021/22,Male,55928.0
Lower → Upper Secondary,2016,Male,49691.0
Lower → Upper Secondary,2017,Male,53637.0
Lower → Upper Secondary,2018,Male,53711.0
Lower → Upper Secondary,2019,Male,64731.0
Lower → Upper Secondary,2020/21,Male,70722.0
Lower → Upper Secondary,2021/22,Male,69339.0
Lower → Upper Secondary,2017,Male,37684.0
Lower → Upper Secondary,2018,Male,41674.0
Lower → Upper Secondary,2019,Male,41248.0
Lower → Upper Secondary,2020/21,Male,43614.0
Lower → Upper Secondary,2021/22,Male,44296.0
Lower → Upper Secondary,2017,Male,41422.0
Lower → Upper Secondary,2018,Male,44263.0
Lower → Upper Secondary,2019,Male,45069.0
Lower → Upper Secondary,2020/21,Male,48567.0
Lower → Upper Secondary,2021/22,Male,51695.0
Lower → Upper Secondary,2016,Male,0.8717094610224381
Lower → Upper Secondary,2017,Male,0.8866242580260835
Lower → Upper Secondary,2018,Male,0.8860628974050524
Lower → Upper Secondary,2019,Male,0.8027165810833196
Lower → Upper Secondary,2020/21,Male,0.7459625132618177
Lower → Upper Secondary,2021/22,Male,0.8504684594478615
Lower → Upper Secondary,2016,Male,0.8335915960636735
Lower → Upper Secondary,2017,Male,0.8252325819863154
Lower → Upper Secondary,2018,Male,0.8391018599541993
Lower → Upper Secondary,2019,Male,0.7502896602864161
Lower → Upper Secondary,2020/21,Male,0.7309606628771811
Lower → Upper Secondary,2021/22,Male,0.8022901974357864
