area,year,sex,count
Students in Sciences combinations,2017,Male,35031.0
Students in Sciences combinations,2018,Male,38022.0
Students in Sciences combinations,2019,Male,40276.0
Students in Sciences combinations,2020/21,Male,40795.0
Students in Sciences combinations,2021/22,Male,42305.0
Students in Sciences combinations,2022/23,Male,43378.0
Students in Sciences combinations,2017,Female,43861.0
Students in Sciences combinations,2018,Female,46620.0
Students in Sciences combinations,2019,Female,50291.0
Students in Sciences combinations,2020/21,Female,51610.0
Students in Sciences combinations,2021/22,Female,57325.0
Students in Sciences combinations,2022/23,Female,116889.0
Students in Humanities combinations,2017,Male,14476.0
Students in Humanities combinations,2018,Male,15267.0
Students in Humanities combinations,2019,Male,16536.0
Students in Humanities combinations,2020/21,Male,16354.0
Students in Humanities combinations,2021/22,Male,15207.0
Students in Humanities combinations,2022/23,Male,15528.0
Students in Humanities combinations,2017,Female,16086.0
Students in Humanities combinations,2018,Female,16633.0
Students in Humanities combinations,2019,Female,18445.0
Students in Humanities combinations,2020/21,Female,18823.0
Students in Humanities combinations,2021/22,Female,17464.0
Students in Humanities combinations,2022/23,Female,18415.0
Students in Languages combinations,2017,Male,12965.0
Students in Languages combinations,2018,Male,13705.0
Students in Languages combinations,2019,Male,14742.0
Students in Languages combinations,2020/21,Male,14757.0
Students in Languages combinations,2021/22,Male,15117.0
Students in Languages combinations,2022/23,Male,12178.0
Students in Languages combinations,2017,Female,16900.0
Students in Languages combinations,2018,Female,17371.0
Students in Languages combinations,2019,Female,18199.0
Students in Languages combinations,2020/21,Female,18934.0
Students in Languages combinations,2021/22,Female,21177.0
Students in Languages combinations,2022/23,Female,19610.0
Students in TTC,2017,Male,3776.0
Students in TTC,2018,Male,3474.0
Students in TTC,2019,Male,3649.0
Students in TTC,2020/21,Male,4316.0
Students in TTC,2021/22,Male,4924.0
Students in TTC,2022/23,Male,5494.0
Students in TTC,2017,Female,5621.0
Students in TTC,2018,Female,5712.0
Students in TTC,2019,Female,5671.0
Students in TTC,2020/21,Female,6405.0
Students in TTC,2021/22,Female,6641.0
Students in TTC,2022/23,Female,7207.0
Students in TVET L3_L5,2017,Male,36542.0
Students in TVET L3_L5,2018,Male,38605.0
Students in TVET L3_L5,2019,Male,37161.0
Students in TVET L3_L5,2020/21,Male,40249.0
Students in TVET L3_L5,2021/22,Male,42387.0
Students in TVET L3_L5,2022/23,Male,52061.0
Students in TVET L3_L5,2017,Female,29702.0
Students in TVET L3_L5,2018,Female,31371.0
Students in TVET L3_L5,2019,Female,30208.0
Students in TVET L3_L5,2020/21,Female,32437.0
Students in TVET L3_L5,2021/22,Female,27775.0
Students in TVET L3_L5,2022/23,Female,37203.0
Students in Accounting,2021/22,Male,1528.0
Students in Accounting,2022/23,Male,1841.0
Students in Accounting,2021/22,Female,7763.0
Students in Accounting,2022/23,Female,7973.0
Nursing,2021/22,Male,117.0
Nursing,2022/23,Male,280.0
Nursing,2021/22,Female,92.0
Nursing,2022/23,Female,377.0
