year,quarter,group,pct_agri
2019,Q1,Rwanda,64.20893963125437
2019,Q2,Rwanda,61.08178468207789
2019,Q3,Rwanda,60.183173322396335
2019,Q4,Rwanda,61.28022461930018
2020,Q1,Rwanda,64.778447734435
2020,Q2,Rwanda,68.87923031638611
2020,Q3,Rwanda,55.77188906498758
2020,Q4,Rwanda,65.98109675222162
2021,Q1,Rwanda,70.5607449388711
2021,Q2,Rwanda,66.84862714861575
2021,Q3,Rwanda,65.07963895455738
2021,Q4,Rwanda,63.03678557862694
2022,Q1,Rwanda,69.08438527050346
2022,Q2,Rwanda,62.518703975000264
2022,Q3,Rwanda,63.3905752925398
2022,Q4,Rwanda,63.33562449745553
2023,Q1,Rwanda,64.81425640461252
2023,Q2,Rwanda,60.665458848186034
2023,Q3,Rwanda,55.1490375532059
2023,Q4,Rwanda,64.35359267043097
2024,Q1,Rwanda,62.97851499197536
2024,Q2,Rwanda,57.54419928508214
2024,Q3,Rwanda,51.44642949738305
2024,Q4,Rwanda,58.38829214409247
2025,Q1,Rwanda,59.63976447591777
2025,Q2,Rwanda,56.04080163594685
2025,Q3,Rwanda,53.40035819863789
2025,Q4,Rwanda,56.38267946349023
2019,Q1,Male,53.03718177482632
2019,Q2,Male,49.77793651465495
2019,Q3,Male,47.785937999159934
2019,Q4,Male,49.84816553230875
2020,Q1,Male,54.868623352654154
2020,Q2,Male,59.82229716891245
2020,Q3,Male,43.65247512231041
2020,Q4,Male,55.87560673234103
2021,Q1,Male,61.07530113231452
2021,Q2,Male,56.43346849914773
2021,Q3,Male,55.58976284754434
2021,Q4,Male,53.15862645814972
2022,Q1,Male,60.49334229426024
2022,Q2,Male,51.43334591247533
2022,Q3,Male,53.346134471560134
2022,Q4,Male,53.28592268843196
2023,Q1,Male,55.30475222542958
2023,Q2,Male,48.69998511305704
2023,Q3,Male,41.919620656205915
2023,Q4,Male,55.7958603068592
2024,Q1,Male,53.188132315754466
2024,Q2,Male,47.82001676881563
2024,Q3,Male,40.76893684673528
2024,Q4,Male,47.58541849363412
2025,Q1,Male,49.929996775570835
2025,Q2,Male,45.98965806906619
2025,Q3,Male,42.40427108702972
2025,Q4,Male,45.357692340079886
2019,Q1,Female,74.19871705490463
2019,Q2,Female,71.64925836524148
2019,Q3,Female,71.6300824997732
2019,Q4,Female,71.68300450600648
2020,Q1,Female,73.76289332990241
2020,Q2,Female,77.45750208334286
2020,Q3,Female,67.79239304485945
2020,Q4,Female,75.22428715509668
2021,Q1,Female,79.18977370116427
2021,Q2,Female,76.82144463185956
2021,Q3,Female,74.53665942008638
2021,Q4,Female,72.66569060999005
2022,Q1,Female,77.2181546269386
2022,Q2,Female,73.22757845770447
2022,Q3,Female,73.44140738870823
2022,Q4,Female,73.00224359371028
2023,Q1,Female,73.62120882522788
2023,Q2,Female,71.93543271772195
2023,Q3,Female,68.26341710803281
2023,Q4,Female,72.40600838575861
2024,Q1,Female,72.17182302687223
2024,Q2,Female,66.6494761643183
2024,Q3,Female,62.03945680909277
2024,Q4,Female,68.50604894169652
2025,Q1,Female,68.68252447735406
2025,Q2,Female,65.4619916617858
2025,Q3,Female,63.963745156992985
2025,Q4,Female,66.62888884304381
