year,quarter,sex,sector,value
2019,Q1,All,_n_employed,3186050.5463436944
2019,Q2,All,_n_employed,3258934.8794283685
2019,Q3,All,_n_employed,3152832.1150640203
2019,Q4,All,_n_employed,3405877.03832
2020,Q1,All,_n_employed,3568934.161134829
2020,Q2,All,_n_employed,3199104.165283203
2020,Q3,All,_n_employed,3667611.013645172
2020,Q4,All,_n_employed,3407788.902974966
2021,Q1,All,_n_employed,3204924.141860962
2021,Q2,All,_n_employed,3133606.658269882
2021,Q3,All,_n_employed,3179124.018924713
2021,Q4,All,_n_employed,3633131.595502615
2022,Q1,All,_n_employed,3585650.7928733826
2022,Q2,All,_n_employed,3317267.515346527
2022,Q3,All,_n_employed,3711253.65624364
2022,Q4,All,_n_employed,3571236.125681067
2023,Q1,All,_n_employed,3803942.11794281
2023,Q2,All,_n_employed,3984501.733938217
2023,Q3,All,_n_employed,3972193.0716018677
2023,Q4,All,_n_employed,4074629.1306991577
2024,Q1,All,_n_employed,4365565.9443359375
2024,Q2,All,_n_employed,4304439.991333008
2024,Q3,All,_n_employed,4523412.98210144
2024,Q4,All,_n_employed,4585316.174636841
2025,Q1,All,_n_employed,4730124.006851196
2025,Q2,All,_n_employed,4581575.010360718
2025,Q3,All,_n_employed,4888920.7785720825
2025,Q4,All,_n_employed,4890198.40511322
2019,Q1,All,Agriculture,39.80557408177122
2019,Q2,All,Agriculture,37.774750018873185
2019,Q3,All,Agriculture,35.20606808640169
2019,Q4,All,Agriculture,37.13266322978672
2020,Q1,All,Agriculture,43.93108369934384
2020,Q2,All,Agriculture,42.82073099447224
2020,Q3,All,Agriculture,32.505407321054676
2020,Q4,All,Agriculture,43.12786057123315
2021,Q1,All,Agriculture,52.303964332274134
2021,Q2,All,Agriculture,46.859185356290325
2021,Q3,All,Agriculture,44.639744171937316
2021,Q4,All,Agriculture,46.91885694366194
2022,Q1,All,Agriculture,52.460223735474976
2022,Q2,All,Agriculture,43.77834845602558
2022,Q3,All,Agriculture,45.56175859246261
2022,Q4,All,Agriculture,45.26567213126007
2023,Q1,All,Agriculture,46.28369881266847
2023,Q2,All,Agriculture,43.952369082935164
2023,Q3,All,Agriculture,37.38123385782207
2023,Q4,All,Agriculture,46.226715134940925
2024,Q1,All,Agriculture,46.93336205225279
2024,Q2,All,Agriculture,39.315653215804204
2024,Q3,All,Agriculture,32.628101233593085
2024,Q4,All,Agriculture,41.07176722057769
2025,Q1,All,Agriculture,43.68460110734084
2025,Q2,All,Agriculture,37.998208268145916
2025,Q3,All,Agriculture,35.06513420103376
2025,Q4,All,Agriculture,39.60903811823765
2019,Q1,All,Mining and quarrying,3.0944658684037565
2019,Q2,All,Mining and quarrying,1.8957603277485995
2019,Q3,All,Mining and quarrying,2.3575246713256903
2019,Q4,All,Mining and quarrying,1.5121149445666293
2020,Q1,All,Mining and quarrying,1.8543829091704787
2020,Q2,All,Mining and quarrying,1.295996834886942
2020,Q3,All,Mining and quarrying,1.8468498892393839
2020,Q4,All,Mining and quarrying,1.5887265960264023
2021,Q1,All,Mining and quarrying,0.9478648238500254
2021,Q2,All,Mining and quarrying,0.8168463448350396
2021,Q3,All,Mining and quarrying,0.9743442808649709
2021,Q4,All,Mining and quarrying,0.9017309508709744
2022,Q1,All,Mining and quarrying,0.7628576679075445
2022,Q2,All,Mining and quarrying,1.4860656185908387
2022,Q3,All,Mining and quarrying,1.3894971204698114
2022,Q4,All,Mining and quarrying,1.8286080948124024
2023,Q1,All,Mining and quarrying,1.0651814739142984
2023,Q2,All,Mining and quarrying,1.092952567055361
2023,Q3,All,Mining and quarrying,1.3423319135118494
2023,Q4,All,Mining and quarrying,1.5335391102930316
2024,Q1,All,Mining and quarrying,1.3780404633513645
2024,Q2,All,Mining and quarrying,2.1810445458907624
2024,Q3,All,Mining and quarrying,1.783774026395943
2024,Q4,All,Mining and quarrying,1.5862383029486344
2025,Q1,All,Mining and quarrying,1.4308414650395556
2025,Q2,All,Mining and quarrying,2.154454353973095
