year,quarter,sex,education,value
2019,Q1,All,_n_employed,3186050.546343691
2019,Q2,All,_n_employed,3258934.8794283723
2019,Q3,All,_n_employed,3152832.1150640273
2019,Q4,All,_n_employed,3405877.0383200105
2020,Q1,All,_n_employed,3568934.1611348195
2020,Q2,All,_n_employed,3199104.165283203
2020,Q3,All,_n_employed,3667611.013645172
2020,Q4,All,_n_employed,3407788.9029749664
2021,Q1,All,_n_employed,3204924.141860962
2021,Q2,All,_n_employed,3133606.658269882
2021,Q3,All,_n_employed,3179124.018924713
2021,Q4,All,_n_employed,3633131.595502615
2022,Q1,All,_n_employed,3585650.7928733826
2022,Q2,All,_n_employed,3317267.515346527
2022,Q3,All,_n_employed,3711253.656243634
2022,Q4,All,_n_employed,3571236.125681065
2023,Q1,All,_n_employed,3803942.11794281
2023,Q2,All,_n_employed,3984501.733938217
2023,Q3,All,_n_employed,3972193.0716018677
2023,Q4,All,_n_employed,4074629.1306991577
2024,Q1,All,_n_employed,4365565.9443359375
2024,Q2,All,_n_employed,4304439.991333008
2024,Q3,All,_n_employed,4523412.98210144
2024,Q4,All,_n_employed,4585316.174636841
2025,Q1,All,_n_employed,4730124.006851196
2025,Q2,All,_n_employed,4581575.010360718
2025,Q3,All,_n_employed,4888920.7785720825
2025,Q4,All,_n_employed,4890198.40511322
2019,Q1,All,No schooling,49.70191383926788
2019,Q2,All,No schooling,48.02359542764224
2019,Q3,All,No schooling,49.16416394499695
2019,Q4,All,No schooling,47.14440995356752
2020,Q1,All,No schooling,49.283286052526556
2020,Q2,All,No schooling,41.2994950235573
2020,Q3,All,No schooling,43.604868906248775
2020,Q4,All,No schooling,47.620083195098175
2021,Q1,All,No schooling,48.49561992040007
2021,Q2,All,No schooling,46.68168895024832
2021,Q3,All,No schooling,45.30137418680826
2021,Q4,All,No schooling,47.85870569449536
2022,Q1,All,No schooling,46.900789134142116
2022,Q2,All,No schooling,44.83503650651423
2022,Q3,All,No schooling,45.03553810261692
2022,Q4,All,No schooling,45.206881427579496
2023,Q1,All,No schooling,47.789784761177074
