year,quarter,sex,indicator,value
2019,Q1,Male,Working age population(16+ years),3335618.451652812
2019,Q2,Male,Working age population(16+ years),3352105.7078165137
2019,Q3,Male,Working age population(16+ years),3379597.104805639
2019,Q4,Male,Working age population(16+ years),3438058.968979982
2020,Q1,Male,Working age population(16+ years),3467977.504798258
2020,Q2,Male,Working age population(16+ years),3497621.7369766235
2020,Q3,Male,Working age population(16+ years),3527519.4628715515
2020,Q4,Male,Working age population(16+ years),3557672.673628968
2021,Q1,Male,Working age population(16+ years),3587851.2702293396
2021,Q2,Male,Working age population(16+ years),3618432.2937812805
2021,Q3,Male,Working age population(16+ years),3649273.9874534607
2021,Q4,Male,Working age population(16+ years),3680378.5826661587
2022,Q1,Male,Working age population(16+ years),3709665.1762161255
2022,Q2,Male,Working age population(16+ years),3741459.6220703125
2022,Q3,Male,Working age population(16+ years),3772820.4306896008
2022,Q4,Male,Working age population(16+ years),3791529.0749981184
2023,Q1,Male,Working age population(16+ years),3736144.2658290863
2023,Q2,Male,Working age population(16+ years),3767222.052635193
2023,Q3,Male,Working age population(16+ years),3798558.3984909058
2023,Q4,Male,Working age population(16+ years),3830155.22076416
2024,Q1,Male,Working age population(16+ years),3855609.394744873
2024,Q2,Male,Working age population(16+ years),3885261.6103668213
2024,Q3,Male,Working age population(16+ years),3915141.9359436035
2024,Q4,Male,Working age population(16+ years),3945251.839828491
2025,Q1,Male,Working age population(16+ years),3973881.4570617676
2025,Q2,Male,Working age population(16+ years),4003796.4084472656
2025,Q3,Male,Working age population(16+ years),4033936.7093048096
2025,Q4,Male,Working age population(16+ years),4064303.699203491
2019,Q1,Male,Labour force,2064618.0789899025
2019,Q2,Male,Labour force,2119958.5399888232
2019,Q3,Male,Labour force,2091237.5682723008
2019,Q4,Male,Labour force,2207994.9970500045
2020,Q1,Male,Labour force,2217977.6488830354
2020,Q2,Male,Labour force,2250233.9961128235
2020,Q3,Male,Labour force,2430252.4521255493
2020,Q4,Male,Labour force,2316025.344236011
2021,Q1,Male,Labour force,2074703.4603157043
2021,Q2,Male,Labour force,2219494.2493228912
2021,Q3,Male,Labour force,2188363.1813087463
2021,Q4,Male,Labour force,2525430.832704544
2022,Q1,Male,Labour force,2293388.474334717
2022,Q2,Male,Labour force,2345164.129951477
2022,Q3,Male,Labour force,2476005.2146125585
2022,Q4,Male,Labour force,2515235.4699774473
2023,Q1,Male,Labour force,2436804.795343399
2023,Q2,Male,Labour force,2526447.5332489014
2023,Q3,Male,Labour force,2640226.6887397766
2023,Q4,Male,Labour force,2582405.0386810303
2024,Q1,Male,Labour force,2652528.5085906982
2024,Q2,Male,Labour force,2732215.385910034
2024,Q3,Male,Labour force,2878267.206665039
2024,Q4,Male,Labour force,2835194.4865722656
2025,Q1,Male,Labour force,2777022.444076538
2025,Q2,Male,Labour force,2800924.8709716797
2025,Q3,Male,Labour force,3001875.4080581665
2025,Q4,Male,Labour force,2891880.95186615
2019,Q1,Male,Employed,1778662.6736539379
2019,Q2,Male,Employed,1841887.959665396
2019,Q3,Male,Employed,1792066.6859785186
2019,Q4,Male,Employed,1898636.1830800003
2020,Q1,Male,Employed,1945486.6441105478
2020,Q2,Male,Employed,1808329.9189567566
2020,Q3,Male,Employed,2113800.9512634277
2020,Q4,Male,Employed,1885454.2991530118
2021,Q1,Male,Employed,1748038.1011924744
2021,Q2,Male,Employed,1776461.1348571777
2021,Q3,Male,Employed,1813058.2206611633
2021,Q4,Male,Employed,2002299.1304745674
2022,Q1,Male,Employed,1949118.9244995117
2022,Q2,Male,Employed,1875695.9197235107
2022,Q3,Male,Employed,2095381.0767530883
2022,Q4,Male,Employed,1990619.882726823
2023,Q1,Male,Employed,2059803.1013069153
2023,Q2,Male,Employed,2175512.2425308228
2023,Q3,Male,Employed,2248639.8181419373
2023,Q4,Male,Employed,2222880.141635895
2024,Q1,Male,Employed,2346249.8633270264
2024,Q2,Male,Employed,2347795.0636138916
2024,Q3,Male,Employed,2519344.8046875
2024,Q4,Male,Employed,2489254.5567474365
2025,Q1,Male,Employed,2502420.954284668
2025,Q2,Male,Employed,2470663.182373047
2025,Q3,Male,Employed,2666343.2031784058
2025,Q4,Male,Employed,2588345.9426498413
2019,Q1,Male,Unemployed,285955.40533596085
2019,Q2,Male,Unemployed,278070.580323433
2019,Q3,Male,Unemployed,299170.88229378115
2019,Q4,Male,Unemployed,309358.8139700001
2020,Q1,Male,Unemployed,272491.00477248104
2020,Q2,Male,Unemployed,441904.0771560669
2020,Q3,Male,Unemployed,316451.5008621216
2020,Q4,Male,Unemployed,430571.04508300003
2021,Q1,Male,Unemployed,326665.35912323
2021,Q2,Male,Unemployed,443033.1144657135
2021,Q3,Male,Unemployed,375304.960647583
2021,Q4,Male,Unemployed,523131.70222997665
2022,Q1,Male,Unemployed,344269.5498352051
2022,Q2,Male,Unemployed,469468.2102279663
2022,Q3,Male,Unemployed,380624.137859468
2022,Q4,Male,Unemployed,524615.5872506198
2023,Q1,Male,Unemployed,377001.69403648376
2023,Q2,Male,Unemployed,350935.2907180786
2023,Q3,Male,Unemployed,391586.87059783936
2023,Q4,Male,Unemployed,359524.8970451355
2024,Q1,Male,Unemployed,306278.6452636719
2024,Q2,Male,Unemployed,384420.3222961426
2024,Q3,Male,Unemployed,358922.40197753906
2024,Q4,Male,Unemployed,345939.9298248291
2025,Q1,Male,Unemployed,274601.4897918701
2025,Q2,Male,Unemployed,330261.6885986328
2025,Q3,Male,Unemployed,335532.20487976074
2025,Q4,Male,Unemployed,303535.0092163086
2019,Q1,Male,out of labour force,1271000.3726628798
2019,Q2,Male,out of labour force,1232147.1678277187
2019,Q3,Male,out of labour force,1288359.5365333457
2019,Q4,Male,out of labour force,1230063.9719300026
2020,Q1,Male,out of labour force,1249999.8559152428
2020,Q2,Male,out of labour force,1247387.7408638
2020,Q3,Male,out of labour force,1097267.0107460022
2020,Q4,Male,out of labour force,1241647.3293930017
2021,Q1,Male,out of labour force,1513147.8099136353
2021,Q2,Male,out of labour force,1398938.0444583893
2021,Q3,Male,out of labour force,1460910.8061447144
2021,Q4,Male,out of labour force,1154947.7499616146
2022,Q1,Male,out of labour force,1416276.7018814087
2022,Q2,Male,out of labour force,1396295.4921188354
2022,Q3,Male,out of labour force,1296815.21607706
2022,Q4,Male,out of labour force,1276293.6050206574
2023,Q1,Male,out of labour force,1299339.4704856873
2023,Q2,Male,out of labour force,1240774.5193862915
2023,Q3,Male,out of labour force,1158331.7097511292
2023,Q4,Male,out of labour force,1247750.1820831299
2024,Q1,Male,out of labour force,1203080.8861541748
2024,Q2,Male,out of labour force,1153046.224456787
2024,Q3,Male,out of labour force,1036874.7292785645
2024,Q4,Male,out of labour force,1110057.3532562256
2025,Q1,Male,out of labour force,1196859.0129852295
2025,Q2,Male,out of labour force,1202871.537475586
2025,Q3,Male,out of labour force,1032061.3012466431
2025,Q4,Male,out of labour force,1172422.7473373413
2019,Q1,Male,Time related underemployed,447698.0221577988
2019,Q2,Male,Time related underemployed,429686.7066027242
2019,Q3,Male,Time related underemployed,442582.5880116839
2019,Q4,Male,Time related underemployed,401103.5988900004
2020,Q1,Male,Time related underemployed,561987.9778698037
2020,Q3,Male,Time related underemployed,513398.7995567322
2020,Q4,Male,Time related underemployed,565538.2416260001
2021,Q1,Male,Time related underemployed,540901.6272468567
2021,Q2,Male,Time related underemployed,507202.61977005005
2021,Q3,Male,Time related underemployed,509049.7187423706
2021,Q4,Male,Time related underemployed,558489.7359359264
2022,Q1,Male,Time related underemployed,504297.027305603
2022,Q2,Male,Time related underemployed,562139.1880111694
2022,Q3,Male,Time related underemployed,665457.5225605764
2022,Q4,Male,Time related underemployed,612561.2348405265
2023,Q1,Male,Time related underemployed,534836.542350769
2023,Q2,Male,Time related underemployed,604486.443145752
2023,Q3,Male,Time related underemployed,619242.8603019714
2023,Q4,Male,Time related underemployed,621569.8624305725
2024,Q1,Male,Time related underemployed,598187.3071136475
2024,Q2,Male,Time related underemployed,666659.0328826904
2024,Q3,Male,Time related underemployed,814799.3092651367
2024,Q4,Male,Time related underemployed,777495.7076263428
2025,Q1,Male,Time related underemployed,797299.9605865479
2025,Q2,Male,Time related underemployed,808652.1369476318
2025,Q3,Male,Time related underemployed,827325.9226760864
2025,Q4,Male,Time related underemployed,843775.1234588623
2019,Q1,Male,Potential labour force,533362.3357637606
2019,Q2,Male,Potential labour force,527394.5486427975
2019,Q3,Male,Potential labour force,549388.2800504306
2019,Q4,Male,Potential labour force,564980.4813900002
2020,Q1,Male,Potential labour force,577008.4397437783
2020,Q3,Male,Potential labour force,611073.9515190125
2020,Q4,Male,Potential labour force,522215.2178239995
2021,Q1,Male,Potential labour force,552706.8031311035
2021,Q2,Male,Potential labour force,461954.6768169403
2021,Q3,Male,Potential labour force,592548.5815544128
2021,Q4,Male,Potential labour force,351583.3207819462
2022,Q1,Male,Potential labour force,419772.3251571655
2022,Q2,Male,Potential labour force,452829.3326950073
2022,Q3,Male,Potential labour force,514126.2753859483
2022,Q4,Male,Potential labour force,386121.58424368897
2023,Q1,Male,Potential labour force,496368.0978488922
2023,Q2,Male,Potential labour force,460520.1244659424
2023,Q3,Male,Potential labour force,493438.4517440796
2023,Q4,Male,Potential labour force,468061.17280197144
2024,Q1,Male,Potential labour force,428228.3055114746
2024,Q2,Male,Potential labour force,410512.2932434082
2024,Q3,Male,Potential labour force,548149.3900146484
2024,Q4,Male,Potential labour force,441212.4105529785
2025,Q1,Male,Potential labour force,453330.5917663574
2025,Q2,Male,Potential labour force,487282.135055542
2025,Q3,Male,Potential labour force,554234.6535186768
2025,Q4,Male,Potential labour force,540073.421661377
2019,Q1,Male,Labour force participation rate(%),61.896110388971344
2019,Q2,Male,Labour force participation rate(%),63.24259211293485
2019,Q3,Male,Labour force participation rate(%),61.87830985233849
2019,Q4,Male,Labour force participation rate(%),64.22213862448864
2020,Q1,Male,Labour force participation rate(%),63.95594105827529
2020,Q2,Male,Labour force participation rate(%),64.33611651950524
2020,Q3,Male,Labour force participation rate(%),68.89409052748982
2020,Q4,Male,Labour force participation rate(%),65.09945002538811
2021,Q1,Male,Labour force participation rate(%),57.82579332456796
2021,Q2,Male,Labour force participation rate(%),61.338559605975334
2021,Q3,Male,Labour force participation rate(%),59.967083557785465
2021,Q4,Male,Labour force participation rate(%),68.61877863866545
2022,Q1,Male,Labour force participation rate(%),61.82198029726184
2022,Q2,Male,Labour force participation rate(%),62.68046075167305
2022,Q3,Male,Labour force participation rate(%),65.62743337773901
2022,Q4,Male,Labour force participation rate(%),66.33828780486674
2023,Q1,Male,Labour force participation rate(%),65.2224491872679
2023,Q2,Male,Labour force participation rate(%),67.06393989920602
2023,Q3,Male,Labour force participation rate(%),69.50601811962896
2023,Q4,Male,Labour force participation rate(%),67.42298653279673
2024,Q1,Male,Labour force participation rate(%),68.79660870746002
2024,Q2,Male,Labour force participation rate(%),70.32255893965596
2024,Q3,Male,Labour force participation rate(%),73.51629273617475
2024,Q4,Male,Labour force participation rate(%),71.86346022198465
2025,Q1,Male,Labour force participation rate(%),69.88186421972007
2025,Q2,Male,Labour force participation rate(%),69.95672569819607
2025,Q3,Male,Labour force participation rate(%),74.41553064364999
2025,Q4,Male,Labour force participation rate(%),71.15317077394809
2019,Q1,Male,Employment-to-population ratio(%),53.32332517745322
2019,Q2,Male,Employment-to-population ratio(%),54.94719201039575
2019,Q3,Male,Employment-to-population ratio(%),53.02604512917451
2019,Q4,Male,Employment-to-population ratio(%),55.22407265874458
2020,Q1,Male,Employment-to-population ratio(%),56.09859468288896
2020,Q2,Male,Employment-to-population ratio(%),51.701700610995566
2020,Q3,Male,Employment-to-population ratio(%),59.923154882969904
2020,Q4,Male,Employment-to-population ratio(%),52.996845750560425
2021,Q1,Male,Employment-to-population ratio(%),48.721030208165175
2021,Q2,Male,Employment-to-population ratio(%),49.0947733887475
2021,Q3,Male,Employment-to-population ratio(%),49.68271022933943
2021,Q4,Male,Employment-to-population ratio(%),54.40470553504992
2022,Q1,Male,Employment-to-population ratio(%),52.54164006487565
2022,Q2,Male,Employment-to-population ratio(%),50.13273185307307
2022,Q3,Male,Employment-to-population ratio(%),55.53884992003397
2022,Q4,Male,Employment-to-population ratio(%),52.501770218597585
2023,Q1,Male,Employment-to-population ratio(%),55.131787071124386
2023,Q2,Male,Employment-to-population ratio(%),57.748447320991865
2023,Q3,Male,Employment-to-population ratio(%),59.197189624234255
2023,Q4,Male,Employment-to-population ratio(%),58.03629392315867
2024,Q1,Male,Employment-to-population ratio(%),60.85289309972434
2024,Q2,Male,Employment-to-population ratio(%),60.428236218364404
2024,Q3,Male,Employment-to-population ratio(%),64.34874765479742
2024,Q4,Male,Employment-to-population ratio(%),63.094946984566896
2025,Q1,Male,Employment-to-population ratio(%),62.971706159924636
2025,Q2,Male,Employment-to-population ratio(%),61.70801235448454
2025,Q3,Male,Employment-to-population ratio(%),66.09779466862065
2025,Q4,Male,Employment-to-population ratio(%),63.68485561640231
2019,Q1,Male,Out of labour force (Inactivity rate(%)),38.103889611028656
2019,Q2,Male,Out of labour force (Inactivity rate(%)),36.75740788706515
