year,quarter,group,indicator,value
2019,Q1,Youth (16-30),Labour force participation rate(%),50.40470732172081
2019,Q2,Youth (16-30),Labour force participation rate(%),51.093979542476006
2019,Q3,Youth (16-30),Labour force participation rate(%),50.28731675830737
2019,Q4,Youth (16-30),Labour force participation rate(%),52.96566594276734
2020,Q1,Youth (16-30),Labour force participation rate(%),53.239634606960124
2020,Q2,Youth (16-30),Labour force participation rate(%),53.345008465626044
2020,Q3,Youth (16-30),Labour force participation rate(%),58.40458238910456
2020,Q4,Youth (16-30),Labour force participation rate(%),54.92642647882702
2021,Q1,Youth (16-30),Labour force participation rate(%),46.0738521114093
2021,Q2,Youth (16-30),Labour force participation rate(%),50.74683208102733
2021,Q3,Youth (16-30),Labour force participation rate(%),46.90493019929901
2021,Q4,Youth (16-30),Labour force participation rate(%),57.298729831575855
2022,Q1,Youth (16-30),Labour force participation rate(%),49.49834904732855
2022,Q2,Youth (16-30),Labour force participation rate(%),48.7170080559549
2022,Q3,Youth (16-30),Labour force participation rate(%),52.85844528667665
2022,Q4,Youth (16-30),Labour force participation rate(%),53.986644059945384
2023,Q1,Youth (16-30),Labour force participation rate(%),53.876057033722226
2023,Q2,Youth (16-30),Labour force participation rate(%),54.68418124609209
2023,Q3,Youth (16-30),Labour force participation rate(%),58.708961034260646
2023,Q4,Youth (16-30),Labour force participation rate(%),57.32679012207392
2024,Q1,Youth (16-30),Labour force participation rate(%),57.24134581612831
2024,Q2,Youth (16-30),Labour force participation rate(%),59.38050347515533
2024,Q3,Youth (16-30),Labour force participation rate(%),64.82862231146018
2024,Q4,Youth (16-30),Labour force participation rate(%),60.859025489259935
2025,Q1,Youth (16-30),Labour force participation rate(%),58.45069623274518
2025,Q2,Youth (16-30),Labour force participation rate(%),58.01282764895702
2025,Q3,Youth (16-30),Labour force participation rate(%),67.07089020866792
2025,Q4,Youth (16-30),Labour force participation rate(%),60.80735947871586
2019,Q1,Youth (16-30),Employment-to-population ratio(%),40.6788988692949
2019,Q2,Youth (16-30),Employment-to-population ratio(%),41.795229863904886
2019,Q3,Youth (16-30),Employment-to-population ratio(%),39.94368457134724
2019,Q4,Youth (16-30),Employment-to-population ratio(%),42.60481432539285
2020,Q1,Youth (16-30),Employment-to-population ratio(%),44.03974614089713
2020,Q2,Youth (16-30),Employment-to-population ratio(%),38.85789931539595
2020,Q3,Youth (16-30),Employment-to-population ratio(%),46.398570765922706
2020,Q4,Youth (16-30),Employment-to-population ratio(%),41.4340947541167
2021,Q1,Youth (16-30),Employment-to-population ratio(%),36.08831051408791
2021,Q2,Youth (16-30),Employment-to-population ratio(%),36.54675071949736
2021,Q3,Youth (16-30),Employment-to-population ratio(%),34.92861717612378
2021,Q4,Youth (16-30),Employment-to-population ratio(%),40.243801814866025
2022,Q1,Youth (16-30),Employment-to-population ratio(%),38.83949516501712
2022,Q2,Youth (16-30),Employment-to-population ratio(%),34.90365368127048
2022,Q3,Youth (16-30),Employment-to-population ratio(%),40.92042955556921
2022,Q4,Youth (16-30),Employment-to-population ratio(%),37.9618460080441
2023,Q1,Youth (16-30),Employment-to-population ratio(%),42.867231526817385
2023,Q2,Youth (16-30),Employment-to-population ratio(%),42.90579410879307
2023,Q3,Youth (16-30),Employment-to-population ratio(%),46.39518762638017
2023,Q4,Youth (16-30),Employment-to-population ratio(%),45.68458269221201
2024,Q1,Youth (16-30),Employment-to-population ratio(%),47.73524029396841
2024,Q2,Youth (16-30),Employment-to-population ratio(%),47.208410049724165
2024,Q3,Youth (16-30),Employment-to-population ratio(%),52.62345474344789
2024,Q4,Youth (16-30),Employment-to-population ratio(%),49.9137911771997
2025,Q1,Youth (16-30),Employment-to-population ratio(%),50.51777492391241
2025,Q2,Youth (16-30),Employment-to-population ratio(%),49.054327011366624
2025,Q3,Youth (16-30),Employment-to-population ratio(%),56.64638476668646
2025,Q4,Youth (16-30),Employment-to-population ratio(%),52.21821511930438
2019,Q1,Youth (16-30),Out of labour force (Inactivity rate(%)),49.59529267827919
2019,Q2,Youth (16-30),Out of labour force (Inactivity rate(%)),48.906020457524
2019,Q3,Youth (16-30),Out of labour force (Inactivity rate(%)),49.71268324169263
2019,Q4,Youth (16-30),Out of labour force (Inactivity rate(%)),47.03433405723266
2020,Q1,Youth (16-30),Out of labour force (Inactivity rate(%)),46.76036539303987
2020,Q2,Youth (16-30),Out of labour force (Inactivity rate(%)),46.654991534373956
2020,Q3,Youth (16-30),Out of labour force (Inactivity rate(%)),41.59541761089544
2020,Q4,Youth (16-30),Out of labour force (Inactivity rate(%)),45.073573521172975
2021,Q1,Youth (16-30),Out of labour force (Inactivity rate(%)),53.9261478885907
2021,Q2,Youth (16-30),Out of labour force (Inactivity rate(%)),49.25316791897267
2021,Q3,Youth (16-30),Out of labour force (Inactivity rate(%)),53.09506980070099
2021,Q4,Youth (16-30),Out of labour force (Inactivity rate(%)),42.701270168424145
2022,Q1,Youth (16-30),Out of labour force (Inactivity rate(%)),50.50165095267145
2022,Q2,Youth (16-30),Out of labour force (Inactivity rate(%)),51.2829919440451
2022,Q3,Youth (16-30),Out of labour force (Inactivity rate(%)),47.14155471332335
2022,Q4,Youth (16-30),Out of labour force (Inactivity rate(%)),46.013355940054616
2023,Q1,Youth (16-30),Out of labour force (Inactivity rate(%)),46.123942966277774
2023,Q2,Youth (16-30),Out of labour force (Inactivity rate(%)),45.31581875390791
2023,Q3,Youth (16-30),Out of labour force (Inactivity rate(%)),41.291038965739354
2023,Q4,Youth (16-30),Out of labour force (Inactivity rate(%)),42.67320987792608
2024,Q1,Youth (16-30),Out of labour force (Inactivity rate(%)),42.75865418387169
2024,Q2,Youth (16-30),Out of labour force (Inactivity rate(%)),40.61949652484467
2024,Q3,Youth (16-30),Out of labour force (Inactivity rate(%)),35.17137768853983
2024,Q4,Youth (16-30),Out of labour force (Inactivity rate(%)),39.140974510740065
2025,Q1,Youth (16-30),Out of labour force (Inactivity rate(%)),41.54930376725482
2025,Q2,Youth (16-30),Out of labour force (Inactivity rate(%)),41.98717235104298
2025,Q3,Youth (16-30),Out of labour force (Inactivity rate(%)),32.92910979133209
2025,Q4,Youth (16-30),Out of labour force (Inactivity rate(%)),39.19264052128414
2019,Q1,Youth (16-30),Time related underemployment rate(%),30.463431901594845
2019,Q2,Youth (16-30),Time related underemployment rate(%),26.620051068391465
2019,Q3,Youth (16-30),Time related underemployment rate(%),27.542863734547076
2019,Q4,Youth (16-30),Time related underemployment rate(%),24.780444820003442
2020,Q1,Youth (16-30),Time related underemployment rate(%),34.46287346538933
2020,Q2,Youth (16-30),Time related underemployment rate(%),0.0
2020,Q3,Youth (16-30),Time related underemployment rate(%),28.85274392973059
2020,Q4,Youth (16-30),Time related underemployment rate(%),33.892924009177236
2021,Q1,Youth (16-30),Time related underemployment rate(%),33.46730324054937
2021,Q2,Youth (16-30),Time related underemployment rate(%),33.49969754453448
2021,Q3,Youth (16-30),Time related underemployment rate(%),31.390391204540773
2021,Q4,Youth (16-30),Time related underemployment rate(%),31.721554062842866
2022,Q1,Youth (16-30),Time related underemployment rate(%),30.544615715621074
2022,Q2,Youth (16-30),Time related underemployment rate(%),30.946699652059603
2022,Q3,Youth (16-30),Time related underemployment rate(%),36.14831899029843
2022,Q4,Youth (16-30),Time related underemployment rate(%),31.63876935644769
2023,Q1,Youth (16-30),Time related underemployment rate(%),29.453200688392684
2023,Q2,Youth (16-30),Time related underemployment rate(%),29.433416249624457
2023,Q3,Youth (16-30),Time related underemployment rate(%),31.11919713914231
2023,Q4,Youth (16-30),Time related underemployment rate(%),29.947963106636674
2024,Q1,Youth (16-30),Time related underemployment rate(%),29.390759721658743
2024,Q2,Youth (16-30),Time related underemployment rate(%),31.57610580612217
2024,Q3,Youth (16-30),Time related underemployment rate(%),35.83289839935842
2024,Q4,Youth (16-30),Time related underemployment rate(%),34.88343501984321
2025,Q1,Youth (16-30),Time related underemployment rate(%),35.05469965458073
2025,Q2,Youth (16-30),Time related underemployment rate(%),36.047097724155755
2025,Q3,Youth (16-30),Time related underemployment rate(%),35.87021178350134
2025,Q4,Youth (16-30),Time related underemployment rate(%),36.73861247259692
2019,Q1,Youth (16-30),LU1-Unemployment rate (%),19.295436813765164
2019,Q2,Youth (16-30),LU1-Unemployment rate (%),18.19930598837144
2019,Q3,Youth (16-30),LU1-Unemployment rate (%),20.569067617335893
2019,Q4,Youth (16-30),LU1-Unemployment rate (%),19.561448785652995
