year,quarter,sex,occupation,value
2019,Q1,All,Employed population aged 16+,3186050.546343698
2019,Q2,All,Employed population aged 16+,3258934.879428366
2019,Q3,All,Employed population aged 16+,3152832.1150640263
2019,Q4,All,Employed population aged 16+,3405877.0383200003
2020,Q1,All,Employed population aged 16+,3568934.161134825
2020,Q2,All,Employed population aged 16+,3199104.165283203
2020,Q3,All,Employed population aged 16+,3667611.013645172
2020,Q4,All,Employed population aged 16+,3407788.9029749744
2021,Q1,All,Employed population aged 16+,3204924.141860962
2021,Q2,All,Employed population aged 16+,3133606.658269882
2021,Q3,All,Employed population aged 16+,3179124.018924713
2021,Q4,All,Employed population aged 16+,3633131.595502615
2022,Q1,All,Employed population aged 16+,3585650.7928733826
2022,Q2,All,Employed population aged 16+,3317267.515346527
2022,Q3,All,Employed population aged 16+,3711253.6562436423
2022,Q4,All,Employed population aged 16+,3571236.125681062
2023,Q1,All,Employed population aged 16+,3803942.11794281
2023,Q2,All,Employed population aged 16+,3984501.733938217
2023,Q3,All,Employed population aged 16+,3972193.0716018677
2023,Q4,All,Employed population aged 16+,4074629.1306991577
2024,Q1,All,Employed population aged 16+,4365565.9443359375
2024,Q2,All,Employed population aged 16+,4304439.991333008
2024,Q3,All,Employed population aged 16+,4523412.98210144
2024,Q4,All,Employed population aged 16+,4585316.174636841
2025,Q1,All,Employed population aged 16+,4730124.006851196
2025,Q2,All,Employed population aged 16+,4581575.010360718
2025,Q3,All,Employed population aged 16+,4888920.7785720825
2025,Q4,All,Employed population aged 16+,4890198.40511322
2019,Q1,All,Total,100.0
2019,Q2,All,Total,100.0
2019,Q3,All,Total,100.0
2019,Q4,All,Total,100.0
2020,Q1,All,Total,100.0
2020,Q3,All,Total,100.0
2020,Q4,All,Total,100.0
2021,Q1,All,Total,100.0
2021,Q2,All,Total,100.0
2021,Q3,All,Total,100.0
2021,Q4,All,Total,100.0
2022,Q1,All,Total,100.0
2022,Q2,All,Total,100.0
2022,Q3,All,Total,100.0
2022,Q4,All,Total,100.0
2023,Q1,All,Total,100.0
2023,Q2,All,Total,100.0
2023,Q3,All,Total,100.0
2023,Q4,All,Total,100.0
2024,Q1,All,Total,100.0
2024,Q2,All,Total,100.0
2024,Q3,All,Total,100.0
2024,Q4,All,Total,100.0
2025,Q1,All,Total,100.0
2025,Q2,All,Total,100.0
2025,Q3,All,Total,100.0
2025,Q4,All,Total,100.0
2019,Q1,All,Managers,1.2380257347560122
2019,Q2,All,Managers,1.2658172404454875
2019,Q3,All,Managers,1.510132290540567
2019,Q4,All,Managers,1.3837852109672084
2020,Q1,All,Managers,1.7210525058926014
2020,Q3,All,Managers,1.0453165518030412
2020,Q4,All,Managers,1.6581473092617496
2021,Q1,All,Managers,1.1030349132557415
2021,Q2,All,Managers,1.2221754038353791
2021,Q3,All,Managers,1.0176942652257819
2021,Q4,All,Managers,0.8566656607008323
2022,Q1,All,Managers,1.2282969849154501
2022,Q2,All,Managers,0.8370674247364229
2022,Q3,All,Managers,1.030466758562793
2022,Q4,All,Managers,1.1489731253254747
2023,Q1,All,Managers,0.8112323774834544
2023,Q2,All,Managers,0.7872379876620754
2023,Q3,All,Managers,0.9518788269268237
2023,Q4,All,Managers,1.420735625161362
2024,Q1,All,Managers,1.3986746510775714
2024,Q2,All,Managers,1.206231278887392
2024,Q3,All,Managers,0.9566764832029786
2024,Q4,All,Managers,1.0222723557650166
2025,Q1,All,Managers,0.9834667431670946
2025,Q2,All,Managers,1.1244321616504478
2025,Q3,All,Managers,1.1174676141967237
2025,Q4,All,Managers,1.0953447649599475
2019,Q1,All,Professionals,5.68148759924653
2019,Q2,All,Professionals,6.347471527551544
2019,Q3,All,Professionals,6.034230795516693
2019,Q4,All,Professionals,5.763757607257344
2020,Q1,All,Professionals,6.015890120792255
2020,Q3,All,Professionals,4.738488580107517
2020,Q4,All,Professionals,5.8381679315968205
2021,Q1,All,Professionals,5.380352369328599
2021,Q2,All,Professionals,7.37651281566979
2021,Q3,All,Professionals,5.633358816009979
2021,Q4,All,Professionals,6.573579271331107
2022,Q1,All,Professionals,5.892528872680485
2022,Q2,All,Professionals,7.3077450410354725
2022,Q3,All,Professionals,5.819893069990816
2022,Q4,All,Professionals,6.996550533566643
2023,Q1,All,Professionals,5.30140813408984
2023,Q2,All,Professionals,5.414846098681421
2023,Q3,All,Professionals,6.511861845698936
2023,Q4,All,Professionals,7.300069750699325
2024,Q1,All,Professionals,6.494112527269229
2024,Q2,All,Professionals,6.631355826831678
2024,Q3,All,Professionals,6.304209867619064
2024,Q4,All,Professionals,6.056239249128421
2025,Q1,All,Professionals,5.6536516868304485
2025,Q2,All,Professionals,5.898537932244703
2025,Q3,All,Professionals,5.52137404894962
2025,Q4,All,Professionals,6.397699310300007
2019,Q1,All,Technicians_and_associate_professionals,1.390418273580436
2019,Q2,All,Technicians_and_associate_professionals,1.4141614530010405
2019,Q3,All,Technicians_and_associate_professionals,1.684157672974102
2019,Q4,All,Technicians_and_associate_professionals,1.542049727547021
2020,Q1,All,Technicians_and_associate_professionals,1.6082884558098753
2020,Q3,All,Technicians_and_associate_professionals,1.528594221100322
2020,Q4,All,Technicians_and_associate_professionals,1.3705702497952823
2021,Q1,All,Technicians_and_associate_professionals,0.9249421269045752
2021,Q2,All,Technicians_and_associate_professionals,1.320150548444062
2021,Q3,All,Technicians_and_associate_professionals,1.2983294856861771
2021,Q4,All,Technicians_and_associate_professionals,1.5839308171794302
2022,Q1,All,Technicians_and_associate_professionals,0.6907364587085768
2022,Q2,All,Technicians_and_associate_professionals,1.2660052013032739
2022,Q3,All,Technicians_and_associate_professionals,1.2595376231483664
2022,Q4,All,Technicians_and_associate_professionals,0.9867737287777625
2023,Q1,All,Technicians_and_associate_professionals,0.719964110766467
2023,Q2,All,Technicians_and_associate_professionals,0.8011170493026034
2023,Q3,All,Technicians_and_associate_professionals,0.7270891248702888
2023,Q4,All,Technicians_and_associate_professionals,1.1049413166432254
2024,Q1,All,Technicians_and_associate_professionals,1.5374879439498557
2024,Q2,All,Technicians_and_associate_professionals,1.3340832878507174
2024,Q3,All,Technicians_and_associate_professionals,1.6062653398072488
2024,Q4,All,Technicians_and_associate_professionals,1.677504307516274
2025,Q1,All,Technicians_and_associate_professionals,1.6624933908502024
2025,Q2,All,Technicians_and_associate_professionals,1.6817072631961854
2025,Q3,All,Technicians_and_associate_professionals,1.8742992356360868
2025,Q4,All,Technicians_and_associate_professionals,1.6289027197379717
2019,Q1,All,Clerical_support_workers,0.9101385830255163
2019,Q2,All,Clerical_support_workers,1.243784868279806
2019,Q3,All,Clerical_support_workers,0.9207643448524458
2019,Q4,All,Clerical_support_workers,0.9724971608586908
2020,Q1,All,Clerical_support_workers,0.9218855093044124
2020,Q3,All,Clerical_support_workers,1.0071725924703032
2020,Q4,All,Clerical_support_workers,0.8164109371831096
2021,Q1,All,Clerical_support_workers,0.8619888807949099
2021,Q2,All,Clerical_support_workers,1.1399305579990835
2021,Q3,All,Clerical_support_workers,0.7798661696846184
2021,Q4,All,Clerical_support_workers,1.0938739190311983
2022,Q1,All,Clerical_support_workers,0.6773141874470815
2022,Q2,All,Clerical_support_workers,0.8779767671509854
2022,Q3,All,Clerical_support_workers,1.021480063293509
2022,Q4,All,Clerical_support_workers,0.7947701117647022
2023,Q1,All,Clerical_support_workers,0.8992684838558603
2023,Q2,All,Clerical_support_workers,0.7801252816286152
2023,Q3,All,Clerical_support_workers,0.7450528166619418
