b1,b2,a1,a2,a6,qf1_01,qf1_02,qf1_03,qf1_04,qf1_05,qf1_06,qf1_07,qf1_08,qf1_09,qf1_10,qf1_11,qf1_12,qf4_01,qf4_05,qf4_06,l1,k1,e2c,e7,e9a,e9b,e1c,e2a,e2e
60,Male,East,Gatsibo,Rural,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,Sometimes,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,None of them
55,Male,East,Kayonza,Rural,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Do not save,Rarely (less than 2 months),Remained the same,No,"Yes, have a lot of control over my financial situation",No,Seldom
33,Male,Kigali,Kicukiro,Urban,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,,,No,Yes,Do not save,On a monthly basis,Improved,No,Have control over my financial Situation,No,Seldom
76,Male,East,Nyagatare,Rural,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Always,Never,Improved,Yes,"Yes, have a lot of control over my financial situation",Yes,Yes all
53,Female,East,Rwamagana,Rural,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,,,Yes,No,Always,Someties (more than 2 months past 2 months),Worsened,Yes,"Yes, have a lot of control over my financial situation",Yes,Yes all
26,Female,South,Huye,Urban,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,No,Do not save,On a monthly basis,Worsened,No,Have control over my financial Situation,No,None of them
43,Female,West,Nyamasheke,Rural,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,No,No,Always,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
62,Male,West,Nyamasheke,Rural,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,,,Yes,No,No,Always,Someties (more than 2 months past 2 months),Remained the same,Yes,"Yes, have a lot of control over my financial situation",Yes,Yes all
29,Female,Kigali,Kicukiro,Urban,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,,No,No,Sometimes,Someties (more than 2 months past 2 months),Remained the same,No,Have control over my financial Situation,Yes,"Yes, most of them"
20,Female,North,Gicumbi,Rural,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,Yes,No,Always,Rarely (less than 2 months),Worsened,Yes,"Yes, have a lot of control over my financial situation",No,Some of them
32,Female,West,Rusizi,Urban,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,,Yes,Yes,Yes,No,Sometimes,On a monthly basis,Improved,No,"Yes, have a lot of control over my financial situation",No,None of them
30,Male,Kigali,Gasabo,Urban,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,,No,No,Sometimes,Someties (more than 2 months past 2 months),Worsened,No,"Yes, have a lot of control over my financial situation",Yes,None of them
19,Female,Kigali,Gasabo,Urban,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,Yes,,Yes,No,Sometimes,On a monthly basis,Worsened,No,Have control over my financial Situation,Yes,Some of them
45,Female,West,Nyamasheke,Urban,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,,No,No,Do not save,On a monthly basis,Remained the same,No,"Yes, have a lot of control over my financial situation",Yes,Seldom
24,Female,Kigali,Gasabo,Urban,No,No,Yes,No,Yes,No,No,No,No,No,No,No,,Yes,,No,No,Sometimes,Someties (more than 2 months past 2 months),Improved,No,Have some control over my financial Situation,Yes,Some of them
46,Female,West,Nyamasheke,Rural,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Sometimes,Someties (more than 2 months past 2 months),Improved,Yes,"Yes, have a lot of control over my financial situation",Yes,Yes all
21,Female,West,Rusizi,Urban,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,No,Do not save,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",No,Seldom
35,Male,West,Nyamasheke,Rural,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,,Yes,Yes,No,No,Sometimes,On a monthly basis,Remained the same,No,"Yes, have a lot of control over my financial situation",No,Some of them
21,Male,West,Nyabihu,Urban,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,No,No,Do not save,Never,Improved,Yes,Have no control over my financial situation,Yes,None of them
19,Female,East,Kirehe,Rural,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,,Yes,Yes,Always,Someties (more than 2 months past 2 months),Worsened,No,"Yes, have a lot of control over my financial situation",Yes,Yes all
72,Male,East,Nyagatare,Urban,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,Yes,,Yes,No,Sometimes,Never,Remained the same,No,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
39,Male,West,Nyamasheke,Rural,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,,Yes,Yes,Yes,No,Sometimes,On a monthly basis,Worsened,No,Have control over my financial Situation,Yes,Some of them
31,Male,Kigali,Gasabo,Rural,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,Yes,,Yes,No,Sometimes,On a monthly basis,Worsened,No,Have control over my financial Situation,Yes,Some of them
19,Male,East,Kayonza,Urban,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,,No,No,Sometimes,Never,Remained the same,No,Have scarce control over my financial situation,Yes,Seldom
44,Female,South,Ruhango,Rural,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,Yes,Yes,Yes,No,Sometimes,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",Yes,Seldom
24,Male,Kigali,Kicukiro,Urban,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,,No,Yes,Always,On a monthly basis,Improved,No,"Yes, have a lot of control over my financial situation",Yes,Some of them
40,Female,West,Rubavu,Urban,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,,No,No,Do not save,On a monthly basis,Worsened,No,"Yes, have a lot of control over my financial situation",Yes,Some of them
79,Female,West,Rutsiro,Rural,No,No,No,No,Yes,No,No,No,No,Yes,No,No,,Yes,,No,No,Sometimes,On a monthly basis,Improved,Yes,"Yes, have a lot of control over my financial situation",No,None of them
60,Female,North,Gicumbi,Rural,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,,Yes,No,Yes,No,Sometimes,Rarely (less than 2 months),Worsened,No,"Yes, have a lot of control over my financial situation",Yes,Some of them
48,Male,Kigali,Kicukiro,Urban,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,,No,Yes,Always,Someties (more than 2 months past 2 months),Worsened,No,"Yes, have a lot of control over my financial situation",Yes,"Yes, most of them"
31,Female,East,Kirehe,Urban,No,No,No,No,No,No,No,No,No,No,Yes,No,,,,Yes,No,Do not save,On a monthly basis,Worsened,No,Have some control over my financial Situation,No,Seldom
